quarter,time,score,team,description
1,11:44.0,2-0,Lakers,L. Dončić makes 2-pt jump shot from 18 ft (assist by D. Ayton)
1,11:28.0,2-3,76ers,T. Maxey makes 3-pt jump shot from 27 ft (assist by V. Edgecombe)
1,11:19.0,2-3,Lakers,R. Hachimura misses 3-pt jump shot from 23 ft
1,11:16.0,2-3,76ers,Defensive rebound by P. George
1,11:06.0,2-3,76ers,Turnover by T. Maxey (bad pass)
1,10:49.0,2-3,Lakers,L. Dončić misses 3-pt jump shot from 26 ft
1,10:46.0,2-3,76ers,Defensive rebound by T. Maxey
1,10:44.0,2-3,76ers,V. Edgecombe misses 2-pt layup from 5 ft (block by A. Reaves)
1,10:44.0,2-3,76ers,Offensive rebound by Team
1,10:40.0,2-6,76ers,V. Edgecombe makes 3-pt jump shot from 28 ft (assist by P. George)
1,10:24.0,4-6,Lakers,L. James makes 2-pt hook shot from 10 ft
1,10:06.0,4-8,76ers,T. Maxey makes 2-pt layup from 2 ft
1,9:59.0,6-8,Lakers,L. Dončić makes 2-pt jump shot from 10 ft
1,9:59.0,6-8,Lakers,Shooting foul by T. Maxey (drawn by L. Dončić)
1,9:59.0,7-8,Lakers,L. Dončić makes free throw 1 of 1
1,9:50.0,7-8,76ers,Personal foul by D. Ayton (drawn by J. Embiid)
1,9:37.0,7-8,76ers,J. Embiid misses 2-pt jump shot from 12 ft
1,9:34.0,7-8,Lakers,Defensive rebound by R. Hachimura
1,9:26.0,7-8,Lakers,L. Dončić misses 2-pt jump shot from 8 ft
1,9:22.0,7-8,76ers,Defensive rebound by J. Embiid
1,9:06.0,7-8,76ers,V. Edgecombe misses 3-pt jump shot from 23 ft
1,9:04.0,7-8,Lakers,Defensive rebound by L. Dončić
1,9:00.0,7-8,Lakers,R. Hachimura misses 2-pt layup from 4 ft (block by T. Maxey)
1,8:57.0,7-8,76ers,Defensive rebound by P. George
1,8:47.0,7-10,76ers,J. Embiid makes 2-pt layup from 1 ft (assist by T. Maxey)
1,8:39.0,9-10,Lakers,D. Ayton makes 2-pt layup from 1 ft (assist by A. Reaves)
1,8:29.0,9-12,76ers,P. George makes 2-pt jump shot from 19 ft
1,8:21.0,9-12,Lakers,A. Reaves misses 2-pt jump shot from 17 ft
1,8:16.0,9-12,76ers,Defensive rebound by D. Barlow
1,8:09.0,9-14,76ers,P. George makes 2-pt layup from 2 ft
1,7:48.0,9-14,Lakers,L. James misses 3-pt jump shot from 23 ft
1,7:44.0,9-14,76ers,Defensive rebound by T. Maxey
1,7:36.0,9-14,76ers,P. George misses 3-pt jump shot from 22 ft
1,7:34.0,9-14,Lakers,Defensive rebound by D. Ayton
1,7:21.0,9-14,Lakers,L. Dončić misses 2-pt jump shot from 17 ft
1,7:18.0,9-14,76ers,Defensive rebound by T. Maxey
1,7:13.0,9-17,76ers,T. Maxey makes 3-pt jump shot from 29 ft
1,6:44.0,9-17,Lakers,Turnover by A. Reaves (out of bounds lost ball)
1,6:44.0,9-17,76ers,Philadelphia full timeout
1,6:44.0,9-17,Lakers,J. LaRavia enters the game for L. James
1,6:44.0,9-17,76ers,A. Drummond enters the game for J. Embiid
1,6:31.0,9-17,76ers,P. George misses 2-pt jump shot from 10 ft
1,6:28.0,9-17,76ers,Offensive rebound by A. Drummond
1,6:25.0,9-17,76ers,Shooting foul by J. LaRavia (drawn by D. Barlow)
1,6:25.0,9-18,76ers,D. Barlow makes free throw 1 of 2
1,6:25.0,9-19,76ers,D. Barlow makes free throw 2 of 2
1,6:04.0,9-19,Lakers,A. Reaves misses 2-pt jump shot from 9 ft
1,6:00.0,9-19,Lakers,Offensive rebound by D. Ayton
1,6:00.0,11-19,Lakers,D. Ayton makes 2-pt dunk at rim
1,5:44.0,11-19,76ers,Personal foul by R. Hachimura (drawn by P. George)
1,5:41.0,11-19,76ers,V. Edgecombe misses 2-pt jump shot from 10 ft
1,5:38.0,11-19,Lakers,Defensive rebound by L. Dončić
1,5:31.0,11-19,Lakers,L. Dončić misses 2-pt jump shot from 11 ft
1,5:27.0,11-19,76ers,Defensive rebound by A. Drummond
1,5:19.0,11-21,76ers,T. Maxey makes 2-pt jump shot from 7 ft
1,5:03.0,13-21,Lakers,D. Ayton makes 2-pt dunk from 1 ft (assist by L. Dončić)
1,4:45.0,13-21,76ers,T. Maxey misses 3-pt jump shot from 28 ft
1,4:38.0,13-21,Lakers,Defensive rebound by D. Ayton
1,4:33.0,13-21,Lakers,Turnover by L. Dončić (bad pass; steal by D. Barlow)
1,4:25.0,13-21,76ers,P. George misses 2-pt layup from 2 ft
1,4:23.0,13-21,Lakers,Defensive rebound by D. Ayton
1,4:21.0,13-21,Lakers,Shooting foul by D. Barlow (drawn by L. Dončić)
1,4:21.0,13-21,Lakers,L. Dončić misses free throw 1 of 2
1,4:21.0,13-21,Lakers,Offensive rebound by Team
1,4:21.0,13-21,Lakers,J. Hayes enters the game for D. Ayton
1,4:21.0,13-21,76ers,Q. Grimes enters the game for V. Edgecombe
1,4:21.0,14-21,Lakers,L. Dončić makes free throw 2 of 2
