quarter,time,score,team,description
1,11:41.0,2-0,Cavaliers,E. Mobley makes 2-pt dunk from 1 ft (assist by D. Mitchell)
1,11:19.0,2-2,76ers,V. Edgecombe makes 2-pt jump shot from 17 ft
1,10:59.0,4-2,Cavaliers,E. Mobley makes 2-pt hook shot from 13 ft
1,10:36.0,4-4,76ers,J. Embiid makes 2-pt jump shot from 22 ft (assist by P. George)
1,10:20.0,6-4,Cavaliers,C. Porter makes 2-pt jump shot from 11 ft
1,9:59.0,6-6,76ers,J. Embiid makes 2-pt jump shot from 18 ft
1,9:43.0,6-6,Cavaliers,J. Tyson misses 3-pt jump shot from 26 ft
1,9:42.0,6-6,Cavaliers,Offensive rebound by C. Porter
1,9:36.0,8-6,Cavaliers,J. Tyson makes 2-pt jump shot from 7 ft (assist by C. Porter)
1,9:24.0,8-6,76ers,Personal foul by J. Tyson (drawn by P. George)
1,9:14.0,8-6,76ers,P. George misses 3-pt jump shot from 24 ft
1,9:10.0,8-6,Cavaliers,Defensive rebound by J. Tyson
1,9:02.0,8-6,Cavaliers,C. Porter misses 2-pt layup from 2 ft (block by D. Barlow)
1,9:00.0,8-6,Cavaliers,Offensive rebound by C. Porter
1,8:59.0,8-6,Cavaliers,Turnover by J. Tyson (bad pass; steal by T. Maxey)
1,8:54.0,8-9,76ers,P. George makes 3-pt jump shot from 24 ft (assist by T. Maxey)
1,8:42.0,8-9,Cavaliers,Personal foul by V. Edgecombe (drawn by D. Mitchell)
1,8:28.0,8-9,Cavaliers,Turnover by C. Porter (bad pass; steal by D. Barlow)
1,8:25.0,8-11,76ers,D. Barlow makes 2-pt dunk from 1 ft (assist by P. George)
1,8:08.0,11-11,Cavaliers,J. Tyson makes 3-pt jump shot from 27 ft (assist by E. Mobley)
1,7:51.0,11-11,76ers,D. Barlow misses 2-pt jump shot from 14 ft
1,7:48.0,11-11,Cavaliers,Defensive rebound by J. Allen
1,7:39.0,11-11,Cavaliers,Turnover by D. Mitchell (lost ball; steal by D. Barlow)
1,7:35.0,11-14,76ers,V. Edgecombe makes 3-pt jump shot from 24 ft (assist by T. Maxey)
1,7:33.0,11-14,Cavaliers,Cleveland full timeout
1,7:14.0,11-14,Cavaliers,Shooting foul by P. George (drawn by J. Tyson)
1,7:14.0,12-14,Cavaliers,J. Tyson makes free throw 1 of 2
1,7:14.0,13-14,Cavaliers,J. Tyson makes free throw 2 of 2
1,6:59.0,13-16,76ers,T. Maxey makes 2-pt jump shot from 11 ft (assist by V. Edgecombe)
1,6:52.0,16-16,Cavaliers,D. Mitchell makes 3-pt jump shot from 27 ft (assist by C. Porter)
1,6:36.0,16-18,76ers,P. George makes 2-pt jump shot from 19 ft
1,6:24.0,16-18,Cavaliers,Turnover by E. Mobley (bad pass)
1,6:11.0,16-20,76ers,T. Maxey makes 2-pt layup from 3 ft (assist by J. Embiid)
1,5:53.0,19-20,Cavaliers,J. Tyson makes 3-pt jump shot from 25 ft (assist by C. Porter)
1,5:36.0,19-22,76ers,J. Embiid makes 2-pt jump shot from 20 ft (assist by T. Maxey)
1,5:25.0,21-22,Cavaliers,J. Allen makes 2-pt dunk from 2 ft (assist by D. Mitchell)
1,5:05.0,21-22,76ers,J. Embiid misses 3-pt jump shot from 27 ft
1,5:03.0,21-22,Cavaliers,Defensive rebound by J. Tyson
1,4:50.0,21-22,Cavaliers,J. Tyson misses 3-pt jump shot from 26 ft
1,4:48.0,21-22,76ers,Defensive rebound by Team
1,4:48.0,21-22,Cavaliers,D. Hunter enters the game for D. Mitchell
1,4:48.0,21-22,Cavaliers,N. Tomlin enters the game for E. Mobley
1,4:37.0,21-22,76ers,T. Maxey misses 3-pt jump shot from 26 ft
1,4:35.0,21-22,76ers,Offensive rebound by D. Barlow
1,4:32.0,21-22,76ers,D. Barlow misses 2-pt layup from 1 ft
1,4:30.0,21-22,Cavaliers,Defensive rebound by N. Tomlin
1,4:27.0,21-22,Cavaliers,Turnover by J. Tyson (bad pass; steal by P. George)
1,4:26.0,21-24,76ers,P. George makes 2-pt layup from 2 ft
1,4:15.0,21-24,Cavaliers,Turnover by J. Tyson (bad pass; steal by D. Barlow)
1,4:06.0,21-24,76ers,Shooting foul by N. Tomlin (drawn by J. Embiid)
1,4:06.0,21-25,76ers,J. Embiid makes free throw 1 of 2
1,4:06.0,21-25,Cavaliers,L. Ball enters the game for C. Porter
1,4:06.0,21-25,76ers,Q. Grimes enters the game for D. Barlow
1,4:06.0,21-25,76ers,K. Oubre enters the game for P. George
1,4:06.0,21-26,76ers,J. Embiid makes free throw 2 of 2
1,3:52.0,23-26,Cavaliers,J. Tyson makes 2-pt dunk from 1 ft (assist by J. Allen)
1,3:40.0,23-26,76ers,J. Embiid misses 2-pt layup from 3 ft
1,3:39.0,23-26,76ers,Offensive rebound by J. Embiid
1,3:38.0,23-26,76ers,Shooting foul by N. Tomlin (drawn by J. Embiid)
1,3:38.0,23-27,76ers,J. Embiid makes free throw 1 of 2
1,3:38.0,23-27,76ers,J. Walker enters the game for V. Edgecombe
1,3:38.0,23-28,76ers,J. Embiid makes free throw 2 of 2
