quarter,time,score,team,description
1,3:34.0,15-21,Nuggets,N. Jokić makes free throw 1 of 2
1,3:34.0,15-21,Cavaliers,T. Bryant enters the game for J. Allen
1,3:34.0,15-21,Cavaliers,D. Mitchell enters the game for J. Harden
1,3:34.0,15-21,Cavaliers,N. Tomlin enters the game for J. Tyson
1,3:34.0,15-21,Nuggets,B. Brown enters the game for J. Strawther
1,3:34.0,15-22,Nuggets,N. Jokić makes free throw 2 of 2
1,3:25.0,17-22,Cavaliers,D. Mitchell makes 2-pt jump shot from 11 ft
1,3:25.0,17-22,Cavaliers,Shooting foul by C. Braun (drawn by D. Mitchell)
1,3:25.0,17-22,Nuggets,J. Valančiūnas enters the game for N. Jokić
1,3:25.0,17-22,Cavaliers,D. Mitchell misses free throw 1 of 1
1,3:22.0,17-22,Nuggets,Defensive rebound by C. Braun
1,3:08.0,17-24,Nuggets,J. Valančiūnas makes 2-pt jump shot from 13 ft (assist by J. Murray)
1,2:59.0,17-24,Cavaliers,Personal take foul by J. Murray (drawn by D. Mitchell)
1,2:59.0,17-24,Nuggets,Denver full timeout
1,2:59.0,17-24,Nuggets,J. Pickett enters the game for C. Braun
1,2:42.0,17-24,Cavaliers,D. Mitchell misses 3-pt jump shot from 27 ft
1,2:38.0,17-24,Cavaliers,Offensive rebound by T. Bryant
1,2:26.0,19-24,Cavaliers,D. Mitchell makes 2-pt layup from 5 ft
1,2:11.0,19-24,Nuggets,Shooting foul by K. Ellis (drawn by J. Murray)
1,2:11.0,19-25,Nuggets,J. Murray makes free throw 1 of 2
1,2:11.0,19-26,Nuggets,J. Murray makes free throw 2 of 2
1,1:58.0,21-26,Cavaliers,D. Schröder makes 2-pt layup from 4 ft
1,1:47.0,21-26,Nuggets,Personal foul by T. Bryant (drawn by J. Valančiūnas)
1,1:47.0,21-27,Nuggets,J. Valančiūnas makes free throw 1 of 2
1,1:47.0,21-27,Nuggets,J. Strawther enters the game for J. Murray
1,1:47.0,21-28,Nuggets,J. Valančiūnas makes free throw 2 of 2
1,1:30.0,23-28,Cavaliers,D. Mitchell makes 2-pt jump shot from 7 ft
1,1:05.0,23-28,Nuggets,T. Hardaway misses 3-pt jump shot from 29 ft
1,1:03.0,23-28,Cavaliers,Defensive rebound by D. Schröder
1,0:57.0,23-28,Cavaliers,D. Schröder misses 3-pt jump shot from 26 ft
1,0:54.0,23-28,Nuggets,Defensive rebound by J. Valančiūnas
1,0:42.0,23-28,Nuggets,Turnover by J. Valančiūnas (bad pass; steal by D. Schröder)
1,0:35.0,26-28,Cavaliers,D. Mitchell makes 3-pt jump shot from 27 ft
1,0:22.0,26-28,Nuggets,J. Pickett misses 3-pt jump shot from 26 ft
1,0:19.0,26-28,Nuggets,Offensive rebound by J. Valančiūnas
1,0:12.0,26-28,Nuggets,Personal foul by N. Tomlin (drawn by J. Valančiūnas)
1,0:12.0,26-29,Nuggets,J. Valančiūnas makes free throw 1 of 2
1,0:12.0,26-29,Cavaliers,J. Harden enters the game for N. Tomlin
1,0:12.0,26-30,Nuggets,J. Valančiūnas makes free throw 2 of 2
1,0:02.0,26-30,Cavaliers,D. Mitchell misses 2-pt layup from 7 ft
1,0:00.0,26-30,Nuggets,Defensive rebound by J. Strawther
1,0:00.0,26-30,Nuggets,Team misses heave shot
1,0:00.0,26-30,Nuggets,Offensive rebound by Team
2,11:38.0,26-30,Cavaliers,Turnover by K. Ellis (lost ball; steal by N. Jokić)
2,11:37.0,26-30,Nuggets,Personal foul by N. Tomlin (drawn by N. Jokić)
2,11:27.0,26-33,Nuggets,T. Hardaway makes 3-pt jump shot from 24 ft (assist by N. Jokić)
2,11:19.0,26-33,Cavaliers,Personal foul by B. Brown (drawn by D. Mitchell)
2,11:17.0,26-33,Cavaliers,T. Bryant misses 3-pt jump shot from 24 ft
2,11:14.0,26-33,Nuggets,Defensive rebound by N. Jokić
2,11:00.0,26-33,Nuggets,B. Brown misses 3-pt jump shot from 24 ft
2,10:58.0,26-33,Cavaliers,Defensive rebound by K. Ellis
2,10:53.0,26-33,Cavaliers,D. Mitchell misses 3-pt jump shot from 26 ft
2,10:50.0,26-33,Nuggets,Defensive rebound by J. Strawther
2,10:43.0,26-35,Nuggets,J. Strawther makes 2-pt layup from 4 ft
2,10:32.0,26-35,Cavaliers,Turnover by C. Porter (lost ball; steal by C. Johnson)
2,10:29.0,26-37,Nuggets,C. Johnson makes 2-pt dunk from 2 ft (assist by N. Jokić)
2,10:29.0,26-37,Cavaliers,Cleveland full timeout
2,10:17.0,29-37,Cavaliers,T. Bryant makes 3-pt jump shot from 27 ft (assist by D. Mitchell)
2,9:53.0,29-37,Nuggets,T. Hardaway misses 3-pt jump shot from 26 ft
2,9:51.0,29-37,Cavaliers,Defensive rebound by T. Bryant
2,9:42.0,32-37,Cavaliers,N. Tomlin makes 3-pt jump shot from 23 ft (assist by T. Bryant)
2,9:27.0,32-37,Nuggets,J. Strawther misses 3-pt jump shot from 24 ft
2,9:25.0,32-37,Cavaliers,Defensive rebound by N. Tomlin
2,9:16.0,32-37,Cavaliers,T. Bryant misses 3-pt jump shot from 25 ft
2,9:15.0,32-37,Nuggets,Defensive rebound by Team
2,9:15.0,32-37,Cavaliers,Loose ball foul by N. Tomlin (drawn by J. Strawther)
2,9:06.0,32-37,Nuggets,Turnover by N. Jokić (bad pass)
2,9:06.0,32-37,Cavaliers,J. Harden enters the game for N. Tomlin
2,8:55.0,32-37,Cavaliers,Shooting foul by T. Hardaway (drawn by D. Mitchell)
2,8:55.0,33-37,Cavaliers,D. Mitchell makes free throw 1 of 2
2,8:55.0,34-37,Cavaliers,D. Mitchell makes free throw 2 of 2
2,8:34.0,34-37,Nuggets,Turnover by C. Johnson (bad pass; steal by D. Mitchell)
2,8:30.0,36-37,Cavaliers,K. Ellis makes 2-pt layup from 3 ft (assist by D. Mitchell)
2,8:27.0,36-37,Nuggets,Denver full timeout
2,8:27.0,36-37,Cavaliers,J. Allen enters the game for T. Bryant
2,8:27.0,36-37,Cavaliers,S. Merrill enters the game for K. Ellis
2,8:27.0,36-37,Cavaliers,D. Schröder enters the game for D. Mitchell
2,8:27.0,36-37,Nuggets,C. Braun enters the game for J. Strawther
2,8:15.0,36-37,Nuggets,N. Jokić misses 3-pt jump shot from 23 ft
2,8:12.0,36-37,Nuggets,Offensive rebound by Team
2,8:04.0,36-37,Nuggets,B. Brown misses 2-pt layup from 4 ft
2,8:00.0,36-37,Cavaliers,Defensive rebound by C. Porter
2,7:57.0,36-37,Cavaliers,Turnover by C. Porter (bad pass; steal by C. Johnson)
2,7:54.0,36-37,Nuggets,Offensive foul by C. Braun (drawn by D. Schröder)
2,7:54.0,36-37,Nuggets,Turnover by C. Braun (offensive foul)
2,7:41.0,36-37,Cavaliers,J. Allen misses 2-pt dunk from 2 ft
2,7:38.0,36-37,Nuggets,Defensive rebound by B. Brown
2,7:35.0,36-40,Nuggets,T. Hardaway makes 3-pt jump shot from 23 ft (assist by N. Jokić)
2,7:22.0,36-40,Cavaliers,Turnover by J. Harden (bad pass; steal by B. Brown)
2,7:18.0,36-40,Nuggets,T. Hardaway misses 3-pt jump shot from 26 ft
2,7:15.0,36-40,Nuggets,Offensive rebound by C. Braun
2,7:14.0,36-43,Nuggets,C. Johnson makes 3-pt jump shot from 25 ft (assist by C. Braun)
2,6:51.0,36-43,Cavaliers,D. Schröder misses 3-pt jump shot from 25 ft
2,6:49.0,36-43,Nuggets,Defensive rebound by Team
2,6:49.0,36-43,Cavaliers,Loose ball foul by C. Porter (drawn by B. Brown)
2,6:49.0,36-43,Cavaliers,J. Tyson enters the game for C. Porter
2,6:49.0,36-43,Nuggets,J. Murray enters the game for T. Hardaway
2,6:49.0,36-43,Nuggets,J. Valančiūnas enters the game for N. Jokić
2,6:30.0,36-43,Nuggets,Turnover by J. Valančiūnas (out of bounds lost ball)
2,6:22.0,36-43,Cavaliers,Personal foul by B. Brown (drawn by J. Harden)
2,6:17.0,36-43,Cavaliers,J. Harden misses 2-pt layup from 2 ft
2,6:14.0,36-43,Nuggets,Defensive rebound by C. Johnson
2,5:56.0,36-45,Nuggets,C. Braun makes 2-pt layup from 4 ft (assist by J. Murray)
2,5:41.0,39-45,Cavaliers,S. Merrill makes 3-pt jump shot from 26 ft (assist by D. Schröder)
2,5:20.0,39-45,Nuggets,J. Valančiūnas misses 3-pt jump shot from 26 ft
2,5:18.0,39-45,Cavaliers,Defensive rebound by J. Harden
2,5:03.0,39-45,Cavaliers,Turnover by J. Tyson (bad pass; steal by C. Johnson)
2,4:57.0,39-45,Nuggets,J. Murray misses 3-pt jump shot from 23 ft
2,4:53.0,39-45,Cavaliers,Defensive rebound by J. Allen
2,4:47.0,39-45,Cavaliers,S. Merrill misses 3-pt jump shot from 24 ft
2,4:47.0,39-45,Nuggets,Defensive rebound by C. Braun
2,4:38.0,39-48,Nuggets,C. Johnson makes 3-pt jump shot from 23 ft (assist by J. Murray)
2,4:22.0,39-48,Cavaliers,Personal foul by C. Johnson (drawn by J. Harden)
2,4:22.0,39-48,Nuggets,J. Pickett enters the game for C. Braun
2,4:15.0,42-48,Cavaliers,J. Tyson makes 3-pt jump shot from 23 ft (assist by J. Harden)
2,4:00.0,42-48,Nuggets,J. Valančiūnas misses 2-pt jump shot from 15 ft
2,3:58.0,42-48,Nuggets,Offensive rebound by B. Brown
2,3:58.0,42-48,Nuggets,B. Brown misses 2-pt layup at rim
2,3:58.0,42-48,Nuggets,Offensive rebound by B. Brown
2,3:58.0,42-48,Nuggets,Shooting foul by J. Tyson (drawn by B. Brown)
2,3:58.0,42-48,Nuggets,B. Brown misses free throw 1 of 2
2,3:58.0,42-48,Nuggets,Offensive rebound by Team
2,3:58.0,42-48,Cavaliers,D. Mitchell enters the game for S. Merrill
2,3:58.0,42-49,Nuggets,B. Brown makes free throw 2 of 2
2,3:47.0,44-49,Cavaliers,J. Harden makes 2-pt jump shot from 8 ft
2,3:22.0,44-51,Nuggets,J. Murray makes 2-pt jump shot from 16 ft
