quarter,time,score,team,description
1,2:59.0,26-16,76ers,J. McCain enters the game for J. Embiid
1,2:59.0,26-16,Clippers,C. Christie enters the game for I. Zubac
1,2:59.0,27-16,76ers,T. Maxey makes free throw 1 of 2
1,2:59.0,28-16,76ers,T. Maxey makes free throw 2 of 2
1,2:41.0,28-18,Clippers,B. Lopez makes 2-pt hook shot from 7 ft (assist by J. Miller)
1,2:21.0,31-18,76ers,T. Maxey makes 3-pt jump shot from 28 ft (assist by A. Bona)
1,2:10.0,31-18,Clippers,B. Lopez misses 3-pt jump shot from 30 ft
1,2:10.0,31-18,76ers,Defensive rebound by Q. Grimes
1,2:03.0,31-18,76ers,Personal foul by C. Christie (drawn by T. Maxey)
1,2:03.0,32-18,76ers,T. Maxey makes free throw 1 of 2
1,2:03.0,33-18,76ers,T. Maxey makes free throw 2 of 2
1,1:44.0,33-18,Clippers,Personal foul by Q. Grimes (drawn by J. Miller)
1,1:37.0,33-18,Clippers,Shooting foul by A. Bona (drawn by J. Miller)
1,1:37.0,33-19,Clippers,J. Miller makes free throw 1 of 2
1,1:37.0,33-19,Clippers,J. Miller misses free throw 2 of 2
1,1:34.0,33-19,76ers,Defensive rebound by Q. Grimes
1,1:17.0,33-19,76ers,D. Barlow misses 2-pt jump shot from 6 ft
1,1:12.0,33-19,76ers,Offensive rebound by A. Bona
1,1:12.0,35-19,76ers,A. Bona makes 2-pt dunk at rim
1,0:58.0,35-19,Clippers,Turnover by J. Miller (lost ball; steal by T. Maxey)
1,0:53.0,38-19,76ers,T. Maxey makes 3-pt jump shot from 29 ft
1,0:33.0,38-19,Clippers,B. Lopez misses 2-pt jump shot from 8 ft
1,0:29.0,38-19,76ers,Defensive rebound by D. Barlow
1,0:10.0,38-19,76ers,T. Maxey misses 3-pt jump shot from 26 ft
1,0:09.0,38-19,Clippers,Defensive rebound by K. Sanders
1,0:03.0,38-19,Clippers,N. Batum misses 3-pt jump shot from 28 ft
1,0:00.0,38-19,76ers,Defensive rebound by J. McCain
2,11:43.0,38-21,Clippers,K. Leonard makes 2-pt jump shot from 5 ft
2,11:27.0,41-21,76ers,J. McCain makes 3-pt jump shot from 27 ft (assist by V. Edgecombe)
2,11:10.0,41-21,Clippers,Personal foul by V. Edgecombe (drawn by B. Lopez)
2,11:01.0,41-23,Clippers,J. Collins makes 2-pt layup from 2 ft (assist by B. Lopez)
2,10:46.0,44-23,76ers,K. Oubre makes 3-pt jump shot from 23 ft (assist by J. McCain)
2,10:32.0,44-23,Clippers,Personal foul by Q. Grimes (drawn by J. Miller)
2,10:29.0,44-25,Clippers,J. Miller makes 2-pt layup from 1 ft (assist by J. Collins)
2,10:29.0,44-25,76ers,Violation by Team (def goaltending)
2,10:14.0,44-25,76ers,Personal foul by B. Lopez (drawn by A. Bona)
2,10:02.0,46-25,76ers,A. Bona makes 2-pt dunk from 1 ft (assist by V. Edgecombe)
2,9:49.0,46-25,Clippers,C. Christie misses 3-pt jump shot from 26 ft
2,9:42.0,46-25,Clippers,Offensive rebound by K. Leonard
2,9:42.0,46-27,Clippers,K. Leonard makes 2-pt dunk at rim
2,9:34.0,48-27,76ers,Q. Grimes makes 2-pt dunk from 2 ft (assist by V. Edgecombe)
2,9:22.0,48-29,Clippers,K. Leonard makes 2-pt layup from 3 ft (assist by J. Miller)
2,9:10.0,48-29,76ers,Shooting foul by B. Lopez (drawn by V. Edgecombe)
2,9:10.0,49-29,76ers,V. Edgecombe makes free throw 1 of 2
2,9:10.0,49-29,Clippers,K. Dunn enters the game for C. Christie
2,9:10.0,49-29,Clippers,I. Zubac enters the game for B. Lopez
2,9:10.0,50-29,76ers,V. Edgecombe makes free throw 2 of 2
2,8:53.0,50-32,Clippers,J. Collins makes 3-pt jump shot from 25 ft (assist by K. Leonard)
2,8:38.0,50-32,76ers,V. Edgecombe misses 2-pt layup from 5 ft
2,8:32.0,50-32,76ers,Offensive rebound by A. Bona
2,8:32.0,52-32,76ers,A. Bona makes 2-pt dunk at rim
2,8:24.0,52-35,Clippers,K. Leonard makes 3-pt jump shot from 26 ft
2,8:05.0,54-35,76ers,K. Oubre makes 2-pt jump shot from 6 ft (assist by J. McCain)
2,7:52.0,54-35,Clippers,Personal foul by J. McCain (drawn by K. Leonard)
2,7:52.0,54-35,76ers,D. Barlow enters the game for Q. Grimes
2,7:35.0,54-35,Clippers,Turnover by K. Leonard (bad pass)
2,7:24.0,54-35,76ers,V. Edgecombe misses 3-pt jump shot from 26 ft
2,7:22.0,54-35,76ers,Offensive rebound by D. Barlow
2,7:20.0,56-35,76ers,D. Barlow makes 2-pt layup at rim
2,7:20.0,56-35,Clippers,LA Clippers full timeout
2,7:20.0,56-35,76ers,J. Embiid enters the game for A. Bona
2,7:09.0,56-35,Clippers,Turnover by J. Miller (bad pass; steal by D. Barlow)
2,7:05.0,58-35,76ers,D. Barlow makes 2-pt layup from 1 ft (assist by V. Edgecombe)
2,6:48.0,58-37,Clippers,J. Collins makes 2-pt jump shot from 12 ft (assist by K. Dunn)
2,6:29.0,58-37,76ers,Turnover by J. McCain (bad pass; steal by K. Leonard)
2,6:27.0,58-39,Clippers,K. Leonard makes 2-pt dunk from 2 ft
2,6:08.0,58-39,76ers,K. Oubre misses 3-pt jump shot from 23 ft
2,6:05.0,58-39,Clippers,Defensive rebound by J. Collins
2,5:46.0,58-41,Clippers,I. Zubac makes 2-pt dunk at rim (assist by J. Collins)
2,5:46.0,58-41,Clippers,Shooting foul by D. Barlow (drawn by I. Zubac)
2,5:46.0,58-41,76ers,T. Maxey enters the game for J. McCain
2,5:46.0,58-41,Clippers,K. Sanders enters the game for J. Miller
2,5:46.0,58-42,Clippers,I. Zubac makes free throw 1 of 1
2,5:28.0,58-42,76ers,T. Maxey misses 3-pt jump shot from 29 ft
2,5:24.0,58-42,Clippers,Defensive rebound by K. Dunn
2,5:17.0,58-42,Clippers,K. Sanders misses 3-pt jump shot from 26 ft
2,5:13.0,58-42,76ers,Defensive rebound by T. Maxey
2,4:55.0,58-42,76ers,J. Embiid misses 3-pt jump shot from 27 ft
2,4:52.0,58-42,Clippers,Defensive rebound by K. Dunn
2,4:31.0,58-44,Clippers,K. Sanders makes 2-pt jump shot from 10 ft
2,4:21.0,58-44,76ers,Philadelphia full timeout
2,4:21.0,58-44,76ers,T. Watford enters the game for D. Barlow
2,4:10.0,58-44,76ers,K. Oubre misses 2-pt jump shot from 7 ft
2,4:08.0,58-44,Clippers,Defensive rebound by I. Zubac
2,3:59.0,58-44,Clippers,K. Leonard misses 2-pt jump shot from 20 ft
2,3:55.0,58-44,76ers,Defensive rebound by V. Edgecombe
2,3:43.0,61-44,76ers,V. Edgecombe makes 3-pt jump shot from 30 ft (assist by T. Watford)
2,3:33.0,61-44,Clippers,Personal foul by J. Embiid (drawn by I. Zubac)
2,3:33.0,61-44,Clippers,I. Zubac misses free throw 1 of 2
2,3:33.0,61-44,Clippers,Offensive rebound by Team
2,3:33.0,61-44,Clippers,B. Lopez enters the game for K. Leonard
2,3:33.0,61-45,Clippers,I. Zubac makes free throw 2 of 2
2,3:17.0,61-45,76ers,J. Embiid misses 2-pt hook shot from 7 ft
2,3:14.0,61-45,Clippers,Defensive rebound by B. Lopez
2,3:00.0,61-45,Clippers,K. Dunn misses 2-pt jump shot from 9 ft
2,2:58.0,61-45,76ers,Defensive rebound by J. Embiid
2,2:57.0,61-45,76ers,Personal foul by K. Dunn (drawn by J. Embiid)
2,2:45.0,61-45,76ers,J. Embiid misses 2-pt jump shot from 16 ft
2,2:41.0,61-45,Clippers,Defensive rebound by J. Collins
2,2:33.0,61-45,Clippers,K. Dunn misses 3-pt jump shot from 24 ft
2,2:29.0,61-45,76ers,Defensive rebound by J. Embiid
2,2:25.0,61-45,76ers,V. Edgecombe misses 3-pt jump shot from 24 ft
2,2:20.0,61-45,Clippers,Defensive rebound by I. Zubac
2,2:16.0,61-45,Clippers,B. Lopez misses 2-pt layup from 5 ft
2,2:16.0,61-45,76ers,Defensive rebound by V. Edgecombe
2,2:09.0,64-45,76ers,K. Oubre makes 3-pt jump shot from 22 ft (assist by T. Maxey)
2,1:49.0,64-45,Clippers,Shooting foul by K. Oubre (drawn by J. Collins)
2,1:49.0,64-45,Clippers,J. Collins misses free throw 1 of 2
2,1:49.0,64-45,Clippers,Offensive rebound by Team
2,1:49.0,64-45,76ers,Q. Grimes enters the game for K. Oubre
2,1:49.0,64-45,Clippers,J. Collins misses free throw 2 of 2
2,1:46.0,64-45,76ers,Defensive rebound by J. Embiid
2,1:34.0,67-45,76ers,Q. Grimes makes 3-pt jump shot from 24 ft (assist by J. Embiid)
2,1:22.0,67-45,Clippers,Shooting foul by T. Maxey (drawn by K. Dunn)
2,1:22.0,67-46,Clippers,K. Dunn makes free throw 1 of 2
2,1:22.0,67-46,Clippers,N. Batum enters the game for J. Collins
2,1:22.0,67-46,Clippers,Y. Konan Niederhäuser enters the game for I. Zubac
2,1:22.0,67-47,Clippers,K. Dunn makes free throw 2 of 2
2,1:09.0,67-47,76ers,Shooting foul by Y. Konan Niederhäuser (drawn by T. Watford)
2,1:09.0,68-47,76ers,T. Watford makes free throw 1 of 2
2,1:09.0,68-47,76ers,T. Watford misses free throw 2 of 2
2,1:06.0,68-47,Clippers,Defensive rebound by N. Batum
2,0:57.0,68-49,Clippers,B. Lopez makes 2-pt jump shot from 7 ft
2,0:43.0,68-49,76ers,J. Embiid misses 2-pt hook shot from 7 ft
2,0:43.0,68-49,76ers,Offensive rebound by Team
2,0:43.0,68-49,Clippers,Loose ball foul by B. Lopez (drawn by J. Embiid)
2,0:43.0,69-49,76ers,J. Embiid makes free throw 1 of 2
2,0:43.0,69-49,Clippers,J. Miller enters the game for B. Lopez
2,0:43.0,70-49,76ers,J. Embiid makes free throw 2 of 2
2,0:32.0,70-49,Clippers,N. Batum misses 3-pt jump shot from 23 ft
2,0:27.0,70-49,Clippers,Offensive rebound by Y. Konan Niederhäuser
2,0:26.0,70-51,Clippers,Y. Konan Niederhäuser makes 2-pt dunk from 2 ft
2,0:05.0,70-51,76ers,Shooting foul by Y. Konan Niederhäuser (drawn by J. Embiid)
2,0:05.0,71-51,76ers,J. Embiid makes free throw 1 of 2
2,0:05.0,71-51,76ers,K. Oubre enters the game for T. Maxey
2,0:05.0,72-51,76ers,J. Embiid makes free throw 2 of 2
2,0:00.0,72-53,Clippers,J. Miller makes 2-pt layup from 2 ft
2,0:00.0,72-53,76ers,Team misses heave shot
2,0:00.0,72-53,76ers,Offensive rebound by Team
3,11:56.0,72-53,Clippers,Turnover by K. Sanders (bad pass; steal by T. Maxey)
3,11:50.0,72-53,76ers,V. Edgecombe misses 3-pt jump shot from 27 ft
3,11:49.0,72-53,Clippers,Defensive rebound by J. Collins
3,11:38.0,72-56,Clippers,J. Collins makes 3-pt jump shot from 23 ft (assist by K. Dunn)
3,11:25.0,75-56,76ers,T. Maxey makes 3-pt jump shot from 28 ft
3,11:08.0,75-56,Clippers,K. Leonard misses 2-pt hook shot from 8 ft
3,11:07.0,75-56,Clippers,Offensive rebound by K. Leonard
3,11:07.0,75-58,Clippers,K. Leonard makes 2-pt layup at rim
3,11:07.0,75-58,Clippers,Shooting foul by J. Embiid (drawn by K. Leonard)
3,11:07.0,75-59,Clippers,K. Leonard makes free throw 1 of 1
3,10:54.0,77-59,76ers,J. Embiid makes 2-pt jump shot from 14 ft (assist by T. Maxey)
3,10:44.0,77-59,Clippers,K. Dunn misses 3-pt jump shot from 26 ft
3,10:41.0,77-59,76ers,Defensive rebound by Team
3,10:41.0,77-59,Clippers,Loose ball foul by J. Collins (drawn by D. Barlow)
3,10:28.0,79-59,76ers,J. Embiid makes 2-pt jump shot from 15 ft (assist by V. Edgecombe)
3,10:15.0,79-61,Clippers,K. Sanders makes 2-pt jump shot from 14 ft (assist by K. Dunn)
3,9:48.0,81-61,76ers,D. Barlow makes 2-pt layup from 3 ft (assist by V. Edgecombe)
3,9:30.0,81-63,Clippers,K. Leonard makes 2-pt jump shot from 11 ft (assist by I. Zubac)
3,9:10.0,81-63,76ers,V. Edgecombe misses 3-pt jump shot from 23 ft
3,9:08.0,81-63,Clippers,Defensive rebound by K. Leonard
3,9:01.0,81-63,Clippers,K. Leonard misses 3-pt jump shot from 28 ft
3,8:59.0,81-63,76ers,Defensive rebound by D. Barlow
3,8:51.0,81-63,76ers,V. Edgecombe misses 3-pt jump shot from 23 ft
3,8:49.0,81-63,Clippers,Defensive rebound by J. Collins
3,8:39.0,81-65,Clippers,K. Leonard makes 2-pt layup from 1 ft (assist by K. Dunn)
3,8:30.0,81-65,Clippers,LA Clippers full timeout
3,8:30.0,81-65,Clippers,Instant Replay (Challenge: Ruling Stands)
3,8:19.0,81-65,76ers,V. Edgecombe misses 3-pt jump shot from 23 ft
3,8:14.0,81-65,76ers,Offensive rebound by D. Barlow
3,8:14.0,84-65,76ers,J. Embiid makes 3-pt jump shot from 28 ft (assist by D. Barlow)
3,7:59.0,84-65,Clippers,Turnover by K. Dunn (bad pass; steal by V. Edgecombe)
3,7:54.0,84-65,76ers,T. Maxey misses 3-pt jump shot from 27 ft
3,7:52.0,84-65,Clippers,Defensive rebound by Team
3,7:28.0,84-68,Clippers,K. Sanders makes 3-pt jump shot from 26 ft
3,7:10.0,84-68,76ers,Personal foul by J. Collins (drawn by V. Edgecombe)
3,7:10.0,84-68,76ers,Instant Replay
3,7:10.0,84-68,Clippers,LA Clippers full timeout
3,7:10.0,84-68,Clippers,Instant Replay (Challenge: Stands)
3,7:07.0,84-68,76ers,Offensive foul by T. Maxey (drawn by K. Dunn)
3,7:07.0,84-68,76ers,Turnover by T. Maxey (offensive foul)
3,6:51.0,84-68,Clippers,K. Sanders misses 2-pt jump shot from 18 ft
3,6:45.0,84-68,Clippers,Offensive rebound by J. Collins
3,6:45.0,84-70,Clippers,J. Collins makes 2-pt dunk at rim
3,6:26.0,86-70,76ers,J. Embiid makes 2-pt jump shot from 11 ft (assist by T. Maxey)
3,6:06.0,86-70,Clippers,J. Collins misses 2-pt hook shot from 6 ft
3,6:03.0,86-70,76ers,Defensive rebound by K. Oubre
3,5:56.0,86-70,76ers,T. Maxey misses 2-pt layup from 4 ft
3,5:54.0,86-70,Clippers,Defensive rebound by K. Leonard
3,5:39.0,86-72,Clippers,K. Dunn makes 2-pt jump shot from 10 ft (assist by K. Leonard)
3,5:24.0,86-72,76ers,T. Maxey misses 3-pt jump shot from 28 ft
3,5:22.0,86-72,Clippers,Defensive rebound by I. Zubac
3,5:16.0,86-74,Clippers,K. Leonard makes 2-pt layup from 1 ft (assist by K. Dunn)
3,5:01.0,86-74,76ers,Shooting foul by K. Dunn (drawn by J. Embiid)
3,5:01.0,87-74,76ers,J. Embiid makes free throw 1 of 3
3,5:01.0,88-74,76ers,J. Embiid makes free throw 2 of 3
3,5:01.0,88-74,76ers,Q. Grimes enters the game for V. Edgecombe
3,5:01.0,89-74,76ers,J. Embiid makes free throw 3 of 3
3,4:43.0,89-76,Clippers,K. Dunn makes 2-pt jump shot from 12 ft (assist by K. Leonard)
3,4:26.0,89-76,76ers,K. Oubre misses 3-pt jump shot from 23 ft
3,4:22.0,89-76,Clippers,Defensive rebound by I. Zubac
3,4:19.0,89-76,Clippers,Personal foul by T. Maxey (drawn by K. Leonard)
3,4:19.0,89-76,Clippers,B. Lopez enters the game for K. Leonard
3,4:09.0,89-76,Clippers,B. Lopez misses 3-pt jump shot from 25 ft
3,4:07.0,89-76,76ers,Defensive rebound by T. Maxey
