quarter,time,score,team,description
1,11:42.0,0-0,Knicks,M. Bridges misses 3-pt jump shot from 22 ft
1,11:40.0,0-0,76ers,Defensive rebound by J. Embiid
1,11:23.0,0-0,76ers,P. George misses 2-pt jump shot from 19 ft
1,11:21.0,0-0,Knicks,Defensive rebound by K. Towns
1,11:08.0,0-3,Knicks,M. Bridges makes 3-pt jump shot from 23 ft (assist by J. Brunson)
1,10:50.0,2-3,76ers,J. Embiid makes 2-pt jump shot from 18 ft
1,10:34.0,2-3,Knicks,M. Bridges misses 2-pt jump shot from 21 ft
1,10:30.0,2-3,76ers,Defensive rebound by D. Barlow
1,10:24.0,2-3,76ers,Personal foul by J. Brunson (drawn by V. Edgecombe)
1,10:10.0,4-3,76ers,P. George makes 2-pt jump shot from 21 ft
1,9:50.0,4-3,Knicks,K. Towns misses 2-pt jump shot from 10 ft
1,9:47.0,4-3,76ers,Defensive rebound by T. Maxey
1,9:47.0,4-3,76ers,Shooting foul by O. Anunoby (drawn by D. Barlow)
1,9:47.0,4-3,76ers,D. Barlow misses free throw 1 of 2
1,9:47.0,4-3,76ers,Offensive rebound by Team
1,9:47.0,5-3,76ers,D. Barlow makes free throw 2 of 2
1,9:24.0,5-5,Knicks,O. Anunoby makes 2-pt dunk at rim (assist by K. Towns)
1,9:03.0,5-5,76ers,T. Maxey misses 3-pt jump shot from 26 ft
1,9:01.0,5-5,Knicks,Defensive rebound by O. Anunoby
1,8:53.0,5-5,Knicks,J. Brunson misses 2-pt jump shot from 12 ft
1,8:50.0,5-5,76ers,Defensive rebound by P. George
1,8:38.0,5-5,76ers,Offensive foul by D. Barlow (drawn by M. Bridges)
1,8:38.0,5-5,76ers,Turnover by D. Barlow (offensive foul)
1,8:28.0,5-7,Knicks,J. Brunson makes 2-pt jump shot from 10 ft
1,8:28.0,5-7,Knicks,Shooting foul by T. Maxey (drawn by J. Brunson)
1,8:28.0,5-7,Knicks,J. Brunson misses free throw 1 of 1
1,8:26.0,5-7,76ers,Defensive rebound by T. Maxey
1,8:14.0,5-7,76ers,Turnover by J. Embiid (lost ball; steal by M. Robinson)
1,8:10.0,5-7,Knicks,O. Anunoby misses 2-pt layup from 1 ft
1,8:09.0,5-7,76ers,Defensive rebound by Team
1,8:09.0,5-7,Knicks,Loose ball foul by M. Robinson (drawn by J. Embiid)
1,7:56.0,5-7,76ers,Turnover by T. Maxey (bad pass; steal by M. Bridges)
1,7:51.0,5-7,Knicks,J. Brunson misses 2-pt jump shot from 8 ft
1,7:47.0,5-7,Knicks,Offensive rebound by M. Bridges
1,7:47.0,5-7,Knicks,M. Bridges misses 2-pt layup at rim
1,7:47.0,5-7,76ers,Defensive rebound by T. Maxey
1,7:45.0,5-7,76ers,T. Maxey misses 2-pt layup from 1 ft
1,7:44.0,5-7,76ers,Offensive rebound by D. Barlow
1,7:44.0,7-7,76ers,D. Barlow makes 2-pt dunk at rim
1,7:33.0,7-9,Knicks,O. Anunoby makes 2-pt dunk from 1 ft (assist by M. Bridges)
1,7:17.0,7-9,76ers,V. Edgecombe misses 2-pt layup from 4 ft
1,7:17.0,7-9,76ers,Offensive rebound by V. Edgecombe
1,7:16.0,9-9,76ers,V. Edgecombe makes 2-pt dunk at rim
1,7:05.0,9-9,Knicks,M. Bridges misses 2-pt jump shot from 15 ft
1,7:03.0,9-9,76ers,Defensive rebound by V. Edgecombe
1,6:52.0,11-9,76ers,P. George makes 2-pt jump shot from 5 ft
1,6:41.0,11-11,Knicks,J. Brunson makes 2-pt jump shot from 11 ft
1,6:27.0,13-11,76ers,J. Embiid makes 2-pt layup from 3 ft
1,6:27.0,13-11,76ers,Shooting foul by M. Robinson (drawn by J. Embiid)
1,6:27.0,13-11,Knicks,New York full timeout
1,6:27.0,13-11,Knicks,M. McBride enters the game for M. Robinson
1,6:27.0,14-11,76ers,J. Embiid makes free throw 1 of 1
1,6:14.0,14-11,Knicks,Turnover by J. Brunson (bad pass)
1,6:02.0,16-11,76ers,V. Edgecombe makes 2-pt layup from 1 ft (assist by T. Maxey)
1,5:51.0,16-11,Knicks,J. Brunson misses 3-pt jump shot from 26 ft
1,5:49.0,16-11,76ers,Defensive rebound by P. George
1,5:39.0,16-11,76ers,T. Maxey misses 2-pt layup from 2 ft
1,5:37.0,16-11,Knicks,Defensive rebound by J. Brunson
1,5:31.0,16-13,Knicks,M. Bridges makes 2-pt layup from 1 ft (assist by O. Anunoby)
1,5:15.0,18-13,76ers,T. Maxey makes 2-pt layup from 2 ft (assist by J. Embiid)
1,5:02.0,18-16,Knicks,M. McBride makes 3-pt jump shot from 26 ft (assist by O. Anunoby)
1,4:50.0,18-16,76ers,P. George misses 2-pt jump shot from 12 ft
1,4:48.0,18-16,Knicks,Defensive rebound by K. Towns
1,4:36.0,18-16,Knicks,Shooting foul by D. Barlow (drawn by J. Brunson)
1,4:36.0,18-16,76ers,Q. Grimes enters the game for D. Barlow
1,4:36.0,18-16,76ers,J. Walker enters the game for P. George
1,4:36.0,18-16,Knicks,A. Hukporti enters the game for O. Anunoby
1,4:36.0,18-16,Knicks,K. McCullar enters the game for K. Towns
1,4:36.0,18-17,Knicks,J. Brunson makes free throw 1 of 2
1,4:36.0,18-18,Knicks,J. Brunson makes free throw 2 of 2
1,4:26.0,21-18,76ers,V. Edgecombe makes 3-pt jump shot from 25 ft (assist by T. Maxey)
1,4:00.0,21-21,Knicks,M. McBride makes 3-pt jump shot from 23 ft (assist by M. Bridges)
1,3:47.0,23-21,76ers,J. Embiid makes 2-pt hook shot from 5 ft
1,3:29.0,23-21,Knicks,J. Brunson misses 2-pt jump shot from 19 ft
1,3:26.0,23-21,76ers,Defensive rebound by J. Embiid
1,3:25.0,23-21,76ers,Turnover by J. Embiid (lost ball; steal by M. McBride)
1,3:22.0,23-24,Knicks,J. Brunson makes 3-pt jump shot from 26 ft (assist by M. McBride)
1,3:07.0,23-24,76ers,J. Embiid misses 2-pt hook shot from 5 ft
1,3:06.0,23-24,76ers,Offensive rebound by J. Walker
1,3:05.0,23-24,76ers,J. Walker misses 2-pt layup from 1 ft
1,3:04.0,23-24,Knicks,Defensive rebound by M. Bridges
1,2:52.0,23-24,Knicks,Shooting foul by J. Embiid (drawn by J. Brunson)
1,2:52.0,23-24,76ers,Philadelphia full timeout
1,2:52.0,23-25,Knicks,J. Brunson makes free throw 1 of 2
1,2:52.0,23-25,76ers,A. Bona enters the game for V. Edgecombe
1,2:52.0,23-25,76ers,J. McCain enters the game for J. Embiid
1,2:52.0,23-25,Knicks,O. Anunoby enters the game for M. Bridges
1,2:52.0,23-25,Knicks,G. Yabusele enters the game for K. McCullar
1,2:52.0,23-25,Knicks,J. Brunson misses free throw 2 of 2
1,2:50.0,23-25,Knicks,Offensive rebound by O. Anunoby
1,2:42.0,23-25,Knicks,G. Yabusele misses 3-pt jump shot from 23 ft
1,2:39.0,23-25,76ers,Defensive rebound by J. McCain
1,2:24.0,23-25,76ers,Q. Grimes misses 3-pt jump shot from 24 ft
1,2:21.0,23-25,Knicks,Defensive rebound by J. Brunson
1,2:18.0,23-25,Knicks,Shooting foul by J. McCain (drawn by J. Brunson)
1,2:18.0,23-25,Knicks,K. McCullar enters the game for G. Yabusele
1,2:18.0,23-26,Knicks,J. Brunson makes free throw 1 of 2
1,2:18.0,23-27,Knicks,J. Brunson makes free throw 2 of 2
1,2:03.0,25-27,76ers,T. Maxey makes 2-pt jump shot from 5 ft
