quarter,time,score,team,description
1,11:46.0,0-0,76ers,T. Maxey misses 3-pt jump shot from 28 ft
1,11:45.0,0-0,Rockets,Defensive rebound by K. Durant
1,11:25.0,0-0,Rockets,Turnover by A. Şengün (lost ball; steal by V. Edgecombe)
1,11:22.0,0-2,76ers,P. George makes 2-pt dunk from 1 ft
1,11:04.0,2-2,Rockets,A. Thompson makes 2-pt dunk from 1 ft
1,10:50.0,2-2,76ers,J. Embiid misses 2-pt layup from 2 ft
1,10:48.0,2-2,Rockets,Defensive rebound by J. Smith
1,10:44.0,5-2,Rockets,K. Durant makes 3-pt jump shot from 27 ft (assist by A. Thompson)
1,10:44.0,5-2,Rockets,Shooting foul by P. George (drawn by K. Durant)
1,10:44.0,6-2,Rockets,K. Durant makes free throw 1 of 1
1,10:27.0,6-4,76ers,K. Oubre makes 2-pt jump shot from 2 ft (assist by V. Edgecombe)
1,10:13.0,6-4,Rockets,J. Smith misses 3-pt jump shot from 24 ft
1,10:12.0,6-4,Rockets,Offensive rebound by A. Thompson
1,10:08.0,6-4,Rockets,J. Smith misses 3-pt jump shot from 26 ft
1,10:07.0,6-4,76ers,Defensive rebound by P. George
1,9:53.0,6-7,76ers,K. Oubre makes 3-pt jump shot from 23 ft (assist by J. Embiid)
1,9:33.0,6-7,Rockets,J. Smith misses 2-pt jump shot from 7 ft
1,9:31.0,6-7,76ers,Defensive rebound by P. George
1,9:22.0,6-7,76ers,Turnover by J. Embiid (lost ball; steal by A. Thompson)
1,9:15.0,8-7,Rockets,A. Şengün makes 2-pt layup from 1 ft (assist by A. Thompson)
1,8:51.0,8-7,76ers,K. Oubre misses 2-pt jump shot from 11 ft
1,8:49.0,8-7,Rockets,Defensive rebound by K. Durant
1,8:42.0,8-7,Rockets,K. Durant misses 3-pt jump shot from 26 ft
1,8:41.0,8-7,76ers,Defensive rebound by J. Embiid
1,8:40.0,8-7,76ers,Personal foul by J. Okogie (drawn by J. Embiid)
1,8:30.0,8-7,76ers,T. Maxey misses 3-pt jump shot from 27 ft
1,8:28.0,8-7,Rockets,Defensive rebound by J. Okogie
1,8:22.0,10-7,Rockets,J. Smith makes 2-pt dunk from 1 ft (assist by A. Thompson)
1,8:06.0,10-9,76ers,V. Edgecombe makes 2-pt dunk from 1 ft (assist by T. Maxey)
1,7:48.0,13-9,Rockets,A. Şengün makes 3-pt jump shot from 26 ft (assist by J. Smith)
1,7:22.0,13-9,76ers,P. George misses 2-pt dunk from 1 ft (block by A. Şengün)
1,7:20.0,13-9,Rockets,Defensive rebound by K. Durant
1,7:18.0,13-9,Rockets,Shooting foul by K. Oubre (drawn by K. Durant)
1,7:18.0,13-9,Rockets,K. Durant misses free throw 1 of 2
1,7:18.0,13-9,Rockets,Offensive rebound by Team
1,7:18.0,14-9,Rockets,K. Durant makes free throw 2 of 2
1,7:06.0,14-11,76ers,K. Oubre makes 2-pt jump shot from 6 ft (assist by T. Maxey)
1,7:06.0,14-11,76ers,Shooting foul by A. Şengün (drawn by K. Oubre)
1,7:06.0,14-12,76ers,K. Oubre makes free throw 1 of 1
1,6:47.0,16-12,Rockets,J. Okogie makes 2-pt jump shot from 23 ft (assist by K. Durant)
1,6:39.0,16-12,76ers,T. Maxey misses 2-pt layup from 4 ft
1,6:37.0,16-12,Rockets,Defensive rebound by A. Şengün
1,6:33.0,19-12,Rockets,J. Smith makes 3-pt jump shot from 23 ft (assist by A. Şengün)
1,6:31.0,19-12,76ers,Philadelphia full timeout
1,6:19.0,19-14,76ers,J. Embiid makes 2-pt dunk from 2 ft (assist by K. Oubre)
1,6:06.0,21-14,Rockets,A. Thompson makes 2-pt layup from 2 ft (assist by A. Şengün)
1,6:06.0,21-14,Rockets,Shooting foul by V. Edgecombe (drawn by A. Thompson)
1,6:06.0,22-14,Rockets,A. Thompson makes free throw 1 of 1
1,5:56.0,22-17,76ers,V. Edgecombe makes 3-pt jump shot from 26 ft (assist by P. George)
1,5:37.0,22-17,Rockets,Shooting foul by P. George (drawn by A. Şengün)
1,5:37.0,22-17,Rockets,A. Şengün misses free throw 1 of 2
1,5:37.0,22-17,Rockets,Offensive rebound by Team
1,5:37.0,22-17,Rockets,T. Eason enters the game for A. Thompson
1,5:37.0,22-17,Rockets,A. Şengün misses free throw 2 of 2
1,5:35.0,22-17,76ers,Defensive rebound by K. Oubre
1,5:18.0,22-17,76ers,T. Maxey misses 3-pt jump shot from 26 ft
1,5:17.0,22-17,Rockets,Defensive rebound by J. Smith
1,5:00.0,22-17,Rockets,A. Şengün misses 3-pt jump shot from 26 ft
1,4:57.0,22-17,76ers,Defensive rebound by V. Edgecombe
1,4:51.0,22-17,76ers,J. Embiid misses 2-pt hook shot from 6 ft
1,4:47.0,22-17,76ers,Offensive rebound by J. Embiid
1,4:47.0,22-19,76ers,J. Embiid makes 2-pt layup at rim
1,4:23.0,22-19,Rockets,Turnover by Team (shot clock)
1,4:23.0,22-19,76ers,D. Barlow enters the game for P. George
