quarter,time,score,team,description
1,11:40.0,0-0,76ers,P. George misses 2-pt jump shot from 20 ft
1,11:38.0,0-0,Kings,Defensive rebound by P. Achiuwa
1,11:27.0,0-0,Kings,N. Clifford misses 2-pt layup from 1 ft
1,11:25.0,0-0,76ers,Defensive rebound by K. Oubre
1,11:14.0,0-0,76ers,V. Edgecombe misses 3-pt jump shot from 27 ft
1,11:12.0,0-0,Kings,Defensive rebound by N. Clifford
1,11:03.0,2-0,Kings,P. Achiuwa makes 2-pt layup from 1 ft (assist by D. Sabonis)
1,10:49.0,2-2,76ers,J. Embiid makes 2-pt jump shot from 9 ft (assist by P. George)
1,10:33.0,4-2,Kings,D. DeRozan makes 2-pt jump shot from 10 ft
1,10:12.0,4-4,76ers,T. Maxey makes 2-pt jump shot from 16 ft
1,9:53.0,6-4,Kings,D. Sabonis makes 2-pt layup from 1 ft (assist by D. Schröder)
1,9:40.0,6-7,76ers,T. Maxey makes 3-pt jump shot from 28 ft
1,9:28.0,6-7,Kings,P. Achiuwa misses 3-pt jump shot from 22 ft
1,9:25.0,6-7,Kings,Offensive rebound by N. Clifford
1,9:24.0,6-7,Kings,Turnover by N. Clifford (bad pass; steal by T. Maxey)
1,9:20.0,6-10,76ers,T. Maxey makes 3-pt jump shot from 27 ft
1,9:07.0,6-10,Kings,N. Clifford misses 2-pt layup from 1 ft
1,9:04.0,6-10,Kings,Offensive rebound by P. Achiuwa
1,8:59.0,6-10,Kings,D. Sabonis misses 2-pt jump shot from 13 ft
1,8:57.0,6-10,76ers,Defensive rebound by J. Embiid
1,8:51.0,6-10,76ers,T. Maxey misses 3-pt jump shot from 28 ft
1,8:47.0,6-10,Kings,Defensive rebound by D. Sabonis
1,8:41.0,6-10,Kings,Shooting foul by K. Oubre (drawn by D. Schröder)
1,8:41.0,7-10,Kings,D. Schröder makes free throw 1 of 2
1,8:41.0,8-10,Kings,D. Schröder makes free throw 2 of 2
1,8:30.0,8-10,76ers,Personal foul by D. Sabonis (drawn by J. Embiid)
1,8:19.0,8-10,76ers,J. Embiid misses 2-pt layup from 7 ft
1,8:19.0,8-10,76ers,Offensive rebound by Team
1,8:16.0,8-10,76ers,V. Edgecombe misses 3-pt jump shot from 28 ft
1,8:12.0,8-10,76ers,Offensive rebound by V. Edgecombe
1,8:10.0,8-10,76ers,P. George misses 3-pt jump shot from 27 ft
1,8:08.0,8-10,76ers,Offensive rebound by V. Edgecombe
1,8:07.0,8-10,76ers,V. Edgecombe misses 2-pt layup at rim (block by P. Achiuwa)
1,8:06.0,8-10,Kings,Defensive rebound by P. Achiuwa
1,7:55.0,10-10,Kings,D. Schröder makes 2-pt layup from 1 ft
1,7:36.0,10-10,76ers,Turnover by J. Embiid (bad pass)
1,7:20.0,10-10,Kings,D. Sabonis misses 3-pt jump shot from 27 ft
1,7:18.0,10-10,Kings,Offensive rebound by Team
1,7:11.0,10-10,Kings,D. DeRozan misses 2-pt jump shot from 11 ft
1,7:08.0,10-10,76ers,Defensive rebound by V. Edgecombe
1,6:59.0,10-12,76ers,P. George makes 2-pt layup from 1 ft (assist by J. Embiid)
1,6:40.0,13-12,Kings,D. DeRozan makes 3-pt jump shot from 27 ft
1,6:29.0,13-12,76ers,Shooting foul by D. Sabonis (drawn by J. Embiid)
1,6:29.0,13-12,76ers,Philadelphia full timeout
1,6:29.0,13-12,Kings,D. Cardwell enters the game for D. DeRozan
1,6:29.0,13-12,Kings,Z. LaVine enters the game for D. Sabonis
1,6:29.0,13-13,76ers,J. Embiid makes free throw 1 of 2
1,6:29.0,13-14,76ers,J. Embiid makes free throw 2 of 2
1,6:05.0,13-14,Kings,N. Clifford misses 2-pt jump shot from 23 ft (block by J. Embiid)
1,6:05.0,13-14,Kings,Offensive rebound by Team
1,6:05.0,13-14,Kings,Turnover by Team (shot clock)
1,5:48.0,13-14,76ers,J. Embiid misses 2-pt jump shot from 16 ft
1,5:45.0,13-14,Kings,Defensive rebound by D. Cardwell
1,5:27.0,13-14,Kings,P. Achiuwa misses 3-pt jump shot from 26 ft
1,5:23.0,13-14,76ers,Defensive rebound by T. Maxey
1,5:14.0,13-17,76ers,V. Edgecombe makes 3-pt jump shot from 25 ft (assist by T. Maxey)
1,4:59.0,15-17,Kings,N. Clifford makes 2-pt jump shot from 7 ft (assist by D. Schröder)
1,4:45.0,15-17,76ers,Def 3 sec tech foul by Team
1,4:45.0,15-18,76ers,T. Maxey makes technical free throw
1,4:45.0,15-18,76ers,D. Barlow enters the game for P. George
1,4:33.0,15-20,76ers,J. Embiid makes 2-pt hook shot from 4 ft (assist by V. Edgecombe)
1,4:20.0,15-20,Kings,N. Clifford misses 3-pt jump shot from 23 ft
1,4:17.0,15-20,Kings,Offensive rebound by D. Cardwell
1,4:14.0,15-20,Kings,Turnover by D. Cardwell (bad pass; steal by D. Barlow)
1,4:03.0,15-20,76ers,T. Maxey misses 3-pt jump shot from 26 ft
1,4:01.0,15-20,Kings,Defensive rebound by D. Schröder
1,3:52.0,15-20,Kings,P. Achiuwa misses 2-pt jump shot from 6 ft
1,3:48.0,15-20,Kings,Offensive rebound by D. Schröder
1,3:48.0,15-20,Kings,D. DeRozan enters the game for P. Achiuwa
1,3:48.0,15-20,Kings,M. Raynaud enters the game for N. Clifford
1,3:48.0,15-20,76ers,J. McCain enters the game for T. Maxey
1,3:37.0,15-20,Kings,Turnover by D. Schröder (lost ball; steal by V. Edgecombe)
1,3:24.0,15-20,76ers,J. Embiid misses 2-pt hook shot from 7 ft
1,3:21.0,15-20,Kings,Defensive rebound by M. Raynaud
1,3:21.0,15-20,Kings,K. Ellis enters the game for D. Schröder
1,3:17.0,15-20,Kings,Sacramento full timeout
1,3:17.0,15-20,Kings,D. Schröder enters the game for K. Ellis
1,3:17.0,15-20,Kings,Instant Replay (Challenge: Ruling Stands)
1,3:17.0,15-20,Kings,K. Ellis enters the game for D. Schröder
1,3:13.0,15-20,Kings,Z. LaVine misses 2-pt jump shot from 18 ft
1,3:10.0,15-20,Kings,Offensive rebound by M. Raynaud
1,3:04.0,17-20,Kings,D. DeRozan makes 2-pt jump shot from 9 ft
1,2:49.0,17-20,76ers,Shooting foul by M. Raynaud (drawn by K. Oubre)
1,2:49.0,17-21,76ers,K. Oubre makes free throw 1 of 2
1,2:49.0,17-22,76ers,K. Oubre makes free throw 2 of 2
1,2:43.0,17-22,Kings,Shooting foul by J. Embiid (drawn by Z. LaVine)
1,2:43.0,18-22,Kings,Z. LaVine makes free throw 1 of 2
1,2:43.0,19-22,Kings,Z. LaVine makes free throw 2 of 2
1,2:30.0,19-24,76ers,J. Embiid makes 2-pt jump shot from 14 ft
1,2:15.0,21-24,Kings,D. DeRozan makes 2-pt jump shot from 13 ft (assist by Z. LaVine)
1,1:58.0,21-24,76ers,Shooting foul by D. Cardwell (drawn by J. Embiid)
1,1:58.0,21-25,76ers,J. Embiid makes free throw 1 of 2
1,1:58.0,21-26,76ers,J. Embiid makes free throw 2 of 2
1,1:42.0,21-26,Kings,Z. LaVine misses 2-pt layup from 2 ft
1,1:40.0,21-26,76ers,Defensive rebound by D. Barlow
1,1:34.0,21-26,76ers,K. Oubre misses 3-pt jump shot from 26 ft
1,1:30.0,21-26,Kings,Defensive rebound by D. DeRozan
1,1:18.0,24-26,Kings,Z. LaVine makes 3-pt jump shot from 28 ft (assist by D. DeRozan)
1,0:54.0,24-28,76ers,K. Oubre makes 2-pt layup from 6 ft
1,0:42.0,24-28,Kings,Z. LaVine misses 3-pt jump shot from 25 ft
1,0:39.0,24-28,76ers,Defensive rebound by V. Edgecombe
1,0:31.0,24-28,76ers,V. Edgecombe misses 3-pt jump shot from 28 ft
1,0:30.0,24-28,Kings,Defensive rebound by Team
1,0:06.0,24-28,Kings,Z. LaVine misses 2-pt jump shot from 18 ft
1,0:05.0,24-28,Kings,Offensive rebound by Team
1,0:05.0,24-28,76ers,Loose ball foul by J. Embiid (drawn by M. Raynaud)
1,0:05.0,24-28,76ers,A. Bona enters the game for J. Embiid
1,0:00.0,24-28,Kings,Shooting foul by K. Oubre (drawn by D. DeRozan)
1,0:00.0,25-28,Kings,D. DeRozan makes free throw 1 of 2
1,0:00.0,25-28,Kings,D. DeRozan misses free throw 2 of 2
1,0:00.0,25-28,76ers,Defensive rebound by A. Bona
2,11:47.0,25-28,Kings,Shooting foul by T. Maxey (drawn by D. DeRozan)
2,11:47.0,25-28,Kings,D. DeRozan misses free throw 1 of 2
