quarter,time,score,team,description
1,2:29.0,23-22,Warriors,B. Hield misses 3-pt jump shot from 24 ft
1,2:24.0,23-22,Warriors,Offensive rebound by P. Spencer
1,2:24.0,23-24,Warriors,P. Spencer makes 2-pt layup at rim
1,2:15.0,23-24,76ers,Philadelphia full timeout
1,2:15.0,23-24,76ers,A. Bona enters the game for A. Drummond
1,2:15.0,23-24,76ers,V. Edgecombe enters the game for T. Maxey
1,2:15.0,23-24,76ers,J. McCain enters the game for K. Oubre
1,2:15.0,23-24,Warriors,G. Santos enters the game for W. Richard
1,2:05.0,23-24,76ers,J. McCain misses 3-pt jump shot from 23 ft (block by G. Santos)
1,2:01.0,23-24,Warriors,Defensive rebound by B. Hield
1,1:49.0,23-24,Warriors,Personal foul by T. Watford (drawn by Q. Post)
1,1:37.0,23-26,Warriors,G. Santos makes 2-pt layup from 3 ft (assist by Q. Post)
1,1:19.0,25-26,76ers,V. Edgecombe makes 2-pt layup from 4 ft (assist by J. McCain)
1,0:58.0,25-29,Warriors,Q. Post makes 3-pt jump shot from 26 ft (assist by D. Melton)
1,0:46.0,27-29,76ers,A. Bona makes 2-pt layup from 2 ft (assist by T. Watford)
1,0:36.0,27-32,Warriors,Q. Post makes 3-pt jump shot from 28 ft (assist by B. Hield)
1,0:27.0,29-32,76ers,T. Watford makes 2-pt hook shot from 4 ft (assist by V. Edgecombe)
1,0:07.0,29-32,Warriors,Offensive foul by D. Melton (drawn by J. McCain)
1,0:07.0,29-32,Warriors,Turnover by D. Melton (offensive foul)
1,0:07.0,29-32,76ers,T. Maxey enters the game for A. Bona
1,0:07.0,29-32,Warriors,D. Green enters the game for B. Hield
1,0:07.0,29-32,Warriors,M. Moody enters the game for Q. Post
1,0:07.0,29-32,Warriors,G. Payton enters the game for P. Spencer
1,0:03.0,31-32,76ers,T. Watford makes 2-pt jump shot from 11 ft
1,0:00.0,31-32,Warriors,Team misses heave shot
1,0:00.0,31-32,Warriors,Offensive rebound by Team
2,11:46.0,31-32,Warriors,M. Moody misses 3-pt jump shot from 25 ft
2,11:44.0,31-32,76ers,Defensive rebound by A. Bona
2,11:30.0,33-32,76ers,Q. Grimes makes 2-pt layup from 3 ft (assist by T. Watford)
2,11:09.0,33-32,Warriors,D. Green misses 3-pt jump shot from 23 ft
2,11:09.0,33-32,76ers,Defensive rebound by T. Watford
2,10:52.0,33-32,76ers,T. Watford misses 2-pt jump shot from 6 ft
2,10:48.0,33-32,76ers,Offensive rebound by A. Bona
2,10:48.0,35-32,76ers,A. Bona makes 2-pt layup at rim
2,10:37.0,35-32,Warriors,B. Podziemski misses 2-pt jump shot from 13 ft
2,10:34.0,35-32,76ers,Defensive rebound by T. Watford
