quarter,time,score,team,description
1,11:40.0,0-0,76ers,T. Maxey misses 3-pt jump shot from 26 ft
1,11:38.0,0-0,2026 NBA Eastern Conference First Round Game 3: Celtics,Defensive rebound by S. Hauser
1,11:22.0,2-0,2026 NBA Eastern Conference First Round Game 3: Celtics,J. Brown makes 2-pt hook shot from 5 ft
1,11:22.0,2-0,76ers,Violation by Team (def goaltending)
1,11:10.0,2-0,76ers,Offensive foul by A. Bona (drawn by J. Brown)
1,11:10.0,2-0,76ers,Turnover by A. Bona (offensive foul)
1,10:51.0,2-0,2026 NBA Eastern Conference First Round Game 3: Celtics,Shooting foul by K. Oubre (drawn by D. White)
1,10:51.0,3-0,2026 NBA Eastern Conference First Round Game 3: Celtics,D. White makes free throw 1 of 2
1,10:51.0,4-0,2026 NBA Eastern Conference First Round Game 3: Celtics,D. White makes free throw 2 of 2
1,10:36.0,4-2,76ers,V. Edgecombe makes 2-pt jump shot at rim (assist by T. Maxey)
1,10:26.0,4-2,2026 NBA Eastern Conference First Round Game 3: Celtics,Offensive foul by N. Queta (drawn by K. Oubre)
1,10:26.0,4-2,2026 NBA Eastern Conference First Round Game 3: Celtics,Turnover by N. Queta (offensive foul)
1,10:11.0,4-2,76ers,V. Edgecombe misses 2-pt jump shot from 16 ft
1,10:09.0,4-2,2026 NBA Eastern Conference First Round Game 3: Celtics,Defensive rebound by N. Queta
1,10:00.0,4-2,2026 NBA Eastern Conference First Round Game 3: Celtics,D. White misses 2-pt layup from 4 ft
1,9:58.0,4-2,2026 NBA Eastern Conference First Round Game 3: Celtics,Offensive rebound by N. Queta
1,9:56.0,4-2,2026 NBA Eastern Conference First Round Game 3: Celtics,Turnover by N. Queta (lost ball; steal by A. Bona)
1,9:51.0,4-5,76ers,K. Oubre makes 3-pt jump shot from 24 ft (assist by T. Maxey)
1,9:38.0,4-5,2026 NBA Eastern Conference First Round Game 3: Celtics,D. White misses 3-pt jump shot from 27 ft
1,9:35.0,4-5,76ers,Defensive rebound by A. Bona
1,9:24.0,4-5,76ers,T. Maxey misses 2-pt jump shot from 7 ft
1,9:23.0,4-5,76ers,Offensive rebound by Team
1,9:23.0,4-5,2026 NBA Eastern Conference First Round Game 3: Celtics,Loose ball foul by S. Hauser (drawn by A. Bona)
1,9:08.0,4-5,76ers,K. Oubre misses 2-pt layup from 3 ft (block by N. Queta)
1,9:06.0,4-5,76ers,Offensive rebound by A. Bona
1,9:05.0,4-7,76ers,A. Bona makes 2-pt dunk at rim
1,8:57.0,6-7,2026 NBA Eastern Conference First Round Game 3: Celtics,N. Queta makes 2-pt dunk from 2 ft (assist by J. Tatum)
1,8:40.0,6-7,76ers,V. Edgecombe misses 2-pt jump shot from 12 ft
1,8:37.0,6-7,2026 NBA Eastern Conference First Round Game 3: Celtics,Defensive rebound by S. Hauser
1,8:29.0,6-7,2026 NBA Eastern Conference First Round Game 3: Celtics,J. Tatum misses 3-pt jump shot from 28 ft
1,8:28.0,6-7,2026 NBA Eastern Conference First Round Game 3: Celtics,Offensive rebound by S. Hauser
1,8:28.0,6-7,2026 NBA Eastern Conference First Round Game 3: Celtics,S. Hauser misses 2-pt layup at rim (block by V. Edgecombe)
1,8:26.0,6-7,76ers,Defensive rebound by K. Oubre
1,8:13.0,6-7,76ers,T. Maxey misses 2-pt jump shot from 8 ft (block by D. White)
1,8:10.0,6-7,76ers,Offensive rebound by T. Maxey
1,8:09.0,6-7,76ers,Shooting foul by N. Queta (drawn by A. Bona)
1,8:09.0,6-8,76ers,A. Bona makes free throw 1 of 2
1,8:09.0,6-8,2026 NBA Eastern Conference First Round Game 3: Celtics,N. Vučević enters the game for N. Queta
1,8:09.0,6-9,76ers,A. Bona makes free throw 2 of 2
1,7:57.0,6-9,2026 NBA Eastern Conference First Round Game 3: Celtics,N. Vučević misses 3-pt jump shot from 27 ft
1,7:54.0,6-9,2026 NBA Eastern Conference First Round Game 3: Celtics,Offensive rebound by J. Brown
1,7:52.0,6-9,2026 NBA Eastern Conference First Round Game 3: Celtics,D. White misses 3-pt jump shot from 27 ft
1,7:50.0,6-9,76ers,Defensive rebound by Team
1,7:25.0,6-9,76ers,V. Edgecombe misses 3-pt jump shot from 26 ft
1,7:22.0,6-9,2026 NBA Eastern Conference First Round Game 3: Celtics,Defensive rebound by J. Brown
1,7:18.0,6-9,76ers,Philadelphia full timeout
1,7:18.0,6-9,76ers,Instant Replay (Challenge: Ruling Stands)
1,7:18.0,6-9,2026 NBA Eastern Conference First Round Game 3: Celtics,Turnover by J. Brown (bad pass)
1,7:18.0,6-9,2026 NBA Eastern Conference First Round Game 3: Celtics,P. Pritchard enters the game for S. Hauser
1,7:18.0,6-9,2026 NBA Eastern Conference First Round Game 3: Celtics,J. Walsh enters the game for D. White
1,7:09.0,6-9,76ers,K. Oubre misses 3-pt jump shot from 24 ft
1,7:06.0,6-9,2026 NBA Eastern Conference First Round Game 3: Celtics,Defensive rebound by J. Brown
1,6:48.0,9-9,2026 NBA Eastern Conference First Round Game 3: Celtics,P. Pritchard makes 3-pt jump shot from 27 ft (assist by N. Vučević)
1,6:33.0,9-9,76ers,A. Bona misses 2-pt layup from 3 ft (block by N. Vučević)
1,6:31.0,9-9,76ers,Offensive rebound by V. Edgecombe
1,6:26.0,9-9,76ers,V. Edgecombe misses 2-pt jump shot from 16 ft
1,6:23.0,9-9,2026 NBA Eastern Conference First Round Game 3: Celtics,Defensive rebound by N. Vučević
1,6:08.0,9-9,2026 NBA Eastern Conference First Round Game 3: Celtics,P. Pritchard misses 2-pt layup from 3 ft
1,6:07.0,9-9,2026 NBA Eastern Conference First Round Game 3: Celtics,Offensive rebound by J. Walsh
1,6:06.0,9-9,2026 NBA Eastern Conference First Round Game 3: Celtics,J. Walsh misses 2-pt layup from 2 ft (block by T. Maxey)
1,6:05.0,9-9,76ers,Defensive rebound by T. Maxey
1,6:02.0,9-12,76ers,T. Maxey makes 3-pt jump shot from 25 ft
1,5:48.0,9-12,2026 NBA Eastern Conference First Round Game 3: Celtics,J. Tatum misses 3-pt jump shot from 30 ft
1,5:44.0,9-12,2026 NBA Eastern Conference First Round Game 3: Celtics,Offensive rebound by P. Pritchard
1,5:43.0,12-12,2026 NBA Eastern Conference First Round Game 3: Celtics,J. Brown makes 3-pt jump shot from 27 ft (assist by P. Pritchard)
1,5:18.0,12-14,76ers,A. Bona makes 2-pt dunk from 1 ft (assist by P. George)
1,4:48.0,12-14,2026 NBA Eastern Conference First Round Game 3: Celtics,J. Tatum misses 2-pt jump shot from 3 ft (block by A. Bona)
1,4:48.0,12-14,2026 NBA Eastern Conference First Round Game 3: Celtics,Offensive rebound by Team
1,4:48.0,12-14,76ers,A. Drummond enters the game for A. Bona
1,4:46.0,12-14,2026 NBA Eastern Conference First Round Game 3: Celtics,P. Pritchard misses 3-pt jump shot from 29 ft
1,4:43.0,12-14,76ers,Defensive rebound by A. Drummond
1,4:34.0,12-16,76ers,T. Maxey makes 2-pt layup from 2 ft
1,4:18.0,15-16,2026 NBA Eastern Conference First Round Game 3: Celtics,N. Vučević makes 3-pt jump shot from 27 ft (assist by J. Tatum)
1,3:57.0,15-16,76ers,P. George misses 3-pt jump shot from 26 ft
1,3:53.0,15-16,2026 NBA Eastern Conference First Round Game 3: Celtics,Defensive rebound by J. Walsh
