quarter,time,score,team,description
1,11:41.0,0-0,76ers,T. Maxey misses 2-pt layup from 4 ft
1,11:40.0,0-0,76ers,Offensive rebound by A. Bona
1,11:38.0,0-2,76ers,A. Bona makes 2-pt hook shot from 2 ft
1,11:19.0,2-2,Knicks,M. Bridges makes 2-pt jump shot from 7 ft (assist by J. Hart)
1,11:03.0,2-2,76ers,T. Maxey misses 3-pt jump shot from 27 ft
1,11:01.0,2-2,Knicks,Defensive rebound by L. Shamet
1,10:49.0,4-2,Knicks,M. Bridges makes 2-pt layup from 1 ft (assist by J. Hart)
1,10:39.0,4-4,76ers,V. Edgecombe makes 2-pt jump shot from 15 ft
1,10:21.0,6-4,Knicks,J. Brunson makes 2-pt layup from 1 ft (assist by K. Towns)
1,10:07.0,6-4,76ers,K. Oubre misses 3-pt jump shot from 24 ft
1,10:04.0,6-4,Knicks,Defensive rebound by J. Hart
1,9:59.0,8-4,Knicks,K. Towns makes 2-pt layup at rim (assist by J. Brunson)
1,9:59.0,8-4,Knicks,Shooting foul by A. Bona (drawn by K. Towns)
1,9:59.0,9-4,Knicks,K. Towns makes free throw 1 of 1
1,9:46.0,9-4,76ers,Turnover by V. Edgecombe (lost ball; steal by M. Bridges)
1,9:42.0,11-4,Knicks,L. Shamet makes 2-pt layup at rim (assist by K. Towns)
1,9:28.0,11-4,76ers,Turnover by T. Maxey (out of bounds lost ball)
1,9:19.0,11-4,Knicks,M. Bridges misses 3-pt jump shot from 23 ft
1,9:14.0,11-4,Knicks,Offensive rebound by J. Brunson
1,9:11.0,14-4,Knicks,M. Bridges makes 3-pt jump shot from 23 ft (assist by J. Hart)
1,8:58.0,14-4,76ers,D. Barlow misses 2-pt layup from 8 ft (block by K. Towns)
1,8:53.0,14-4,Knicks,Defensive rebound by J. Brunson
1,8:50.0,14-4,Knicks,Personal foul by K. Oubre (drawn by J. Brunson)
1,8:40.0,16-4,Knicks,M. Bridges makes 2-pt dunk from 1 ft (assist by J. Hart)
1,8:32.0,16-4,76ers,Philadelphia full timeout
1,8:18.0,16-4,76ers,Shooting foul by M. Bridges (drawn by K. Oubre)
1,8:18.0,16-5,76ers,K. Oubre makes free throw 1 of 2
1,8:18.0,16-5,76ers,K. Oubre misses free throw 2 of 2
1,8:14.0,16-5,Knicks,Defensive rebound by M. Bridges
1,8:02.0,16-5,Knicks,J. Hart misses 2-pt layup from 2 ft (block by D. Barlow)
1,8:02.0,16-5,Knicks,Offensive rebound by Team
1,7:56.0,16-5,Knicks,K. Towns misses 2-pt layup from 2 ft
1,7:54.0,16-5,76ers,Defensive rebound by V. Edgecombe
1,7:50.0,16-8,76ers,D. Barlow makes 3-pt jump shot from 24 ft (assist by V. Edgecombe)
1,7:25.0,16-8,Knicks,L. Shamet misses 3-pt jump shot from 26 ft
1,7:22.0,16-8,76ers,Defensive rebound by K. Oubre
1,7:15.0,16-8,76ers,Turnover by K. Oubre (lost ball; steal by J. Hart)
1,7:10.0,18-8,Knicks,M. Bridges makes 2-pt layup from 1 ft (assist by J. Hart)
1,6:54.0,18-8,76ers,V. Edgecombe misses 3-pt jump shot from 26 ft
1,6:48.0,18-8,76ers,Offensive rebound by A. Bona
1,6:48.0,18-8,76ers,A. Bona misses 2-pt layup at rim
1,6:48.0,18-8,76ers,Offensive rebound by K. Oubre
1,6:45.0,18-8,76ers,K. Oubre misses 3-pt jump shot from 27 ft
1,6:43.0,18-8,Knicks,Defensive rebound by M. Bridges
1,6:29.0,18-8,Knicks,M. Bridges misses 2-pt jump shot from 10 ft
1,6:22.0,18-8,Knicks,Offensive rebound by K. Towns
1,6:22.0,20-8,Knicks,K. Towns makes 2-pt layup at rim
1,6:12.0,20-10,76ers,T. Maxey makes 2-pt layup from 2 ft
1,5:55.0,22-10,Knicks,K. Towns makes 2-pt layup from 1 ft (assist by J. Brunson)
1,5:43.0,22-10,76ers,V. Edgecombe misses 2-pt jump shot from 7 ft
1,5:42.0,22-10,76ers,Offensive rebound by A. Bona
1,5:42.0,22-10,76ers,A. Bona misses 2-pt layup from 5 ft
1,5:42.0,22-10,Knicks,Defensive rebound by Team
1,5:41.0,22-10,76ers,Loose ball foul by A. Bona (drawn by K. Towns)
1,5:41.0,22-10,Knicks,J. Clarkson enters the game for J. Hart
1,5:41.0,22-10,Knicks,M. Diawara enters the game for L. Shamet
1,5:41.0,22-10,Knicks,M. Robinson enters the game for K. Towns
1,5:41.0,22-10,76ers,A. Drummond enters the game for D. Barlow
1,5:41.0,22-10,76ers,J. Edwards enters the game for A. Bona
