quarter,time,score,team,description
1,11:47.0,3-0,Knicks,K. Towns makes 3-pt jump shot from 28 ft (assist by M. Bridges)
1,11:29.0,3-0,76ers,V. Edgecombe misses 3-pt jump shot from 23 ft
1,11:25.0,3-0,Knicks,Defensive rebound by J. Hart
1,11:14.0,6-0,Knicks,J. Brunson makes 3-pt jump shot from 23 ft (assist by O. Anunoby)
1,10:59.0,6-2,76ers,J. Embiid makes 2-pt layup from 2 ft (assist by V. Edgecombe)
1,10:52.0,6-2,Knicks,M. Bridges misses 2-pt jump shot from 6 ft
1,10:51.0,6-2,76ers,Defensive rebound by Team
1,10:40.0,6-4,76ers,J. Embiid makes 2-pt jump shot from 14 ft (assist by T. Maxey)
1,10:18.0,8-4,Knicks,M. Bridges makes 2-pt layup from 1 ft (assist by K. Towns)
1,10:04.0,8-7,76ers,T. Maxey makes 3-pt jump shot from 27 ft
1,9:52.0,8-7,Knicks,Turnover by J. Brunson (lost ball; steal by K. Oubre)
1,9:40.0,8-9,76ers,V. Edgecombe makes 2-pt layup from 3 ft
1,9:19.0,11-9,Knicks,O. Anunoby makes 3-pt jump shot from 24 ft (assist by J. Hart)
1,9:06.0,11-9,76ers,K. Oubre misses 3-pt jump shot from 27 ft
1,9:03.0,11-9,Knicks,Defensive rebound by J. Hart
1,8:58.0,13-9,Knicks,J. Hart makes 2-pt layup from 2 ft
1,8:58.0,13-9,Knicks,Shooting foul by J. Embiid (drawn by J. Hart)
1,8:58.0,14-9,Knicks,J. Hart makes free throw 1 of 1
1,8:42.0,14-11,76ers,T. Maxey makes 2-pt layup from 3 ft
1,8:34.0,14-11,Knicks,Shooting foul by P. George (drawn by K. Towns)
1,8:34.0,14-11,Knicks,K. Towns misses free throw 1 of 2
1,8:34.0,14-11,Knicks,Offensive rebound by Team
1,8:34.0,15-11,Knicks,K. Towns makes free throw 2 of 2
1,8:20.0,15-11,76ers,P. George misses 3-pt jump shot from 23 ft
1,8:17.0,15-11,Knicks,Defensive rebound by M. Bridges
1,8:07.0,17-11,Knicks,J. Brunson makes 2-pt jump shot from 1 ft (assist by J. Hart)
1,7:53.0,17-14,76ers,J. Embiid makes 3-pt jump shot from 27 ft (assist by T. Maxey)
1,7:40.0,17-14,Knicks,Shooting foul by P. George (drawn by K. Towns)
1,7:40.0,18-14,Knicks,K. Towns makes free throw 1 of 2
1,7:40.0,19-14,Knicks,K. Towns makes free throw 2 of 2
1,7:29.0,19-14,76ers,P. George misses 2-pt jump shot from 19 ft
1,7:26.0,19-14,Knicks,Defensive rebound by K. Towns
1,7:22.0,19-14,Knicks,M. Bridges misses 3-pt jump shot from 25 ft
1,7:18.0,19-14,76ers,Defensive rebound by J. Embiid
1,7:01.0,19-14,76ers,Shooting foul by K. Towns (drawn by J. Embiid)
1,7:01.0,19-15,76ers,J. Embiid makes free throw 1 of 2
1,7:01.0,19-15,76ers,D. Barlow enters the game for P. George
1,7:01.0,19-16,76ers,J. Embiid makes free throw 2 of 2
1,6:43.0,21-16,Knicks,J. Brunson makes 2-pt jump shot from 13 ft
1,6:23.0,21-16,76ers,K. Oubre misses 2-pt jump shot from 8 ft
1,6:21.0,21-16,Knicks,Defensive rebound by K. Towns
1,6:15.0,21-16,Knicks,J. Brunson misses 3-pt jump shot from 26 ft
1,6:12.0,21-16,76ers,Defensive rebound by J. Embiid
1,6:01.0,21-18,76ers,K. Oubre makes 2-pt jump shot from 4 ft (assist by J. Embiid)
1,6:01.0,21-18,76ers,Shooting foul by J. Hart (drawn by K. Oubre)
1,6:01.0,21-18,76ers,Philadelphia full timeout
1,6:01.0,21-18,Knicks,M. Robinson enters the game for O. Anunoby
1,6:01.0,21-18,Knicks,L. Shamet enters the game for J. Hart
1,6:01.0,21-18,Knicks,G. Yabusele enters the game for K. Towns
1,6:01.0,21-18,76ers,K. Oubre misses free throw 1 of 1
1,5:59.0,21-18,Knicks,Defensive rebound by L. Shamet
1,5:38.0,23-18,Knicks,J. Brunson makes 2-pt layup from 1 ft
1,5:24.0,23-18,76ers,J. Embiid misses 2-pt dunk from 2 ft (block by M. Robinson)
1,5:21.0,23-18,Knicks,Defensive rebound by L. Shamet
1,5:21.0,23-18,Knicks,Turnover by L. Shamet (bad pass; steal by T. Maxey)
1,5:17.0,23-20,76ers,J. Embiid makes 2-pt dunk from 2 ft (assist by T. Maxey)
1,5:03.0,23-20,Knicks,J. Brunson misses 2-pt jump shot from 15 ft
1,5:01.0,23-20,Knicks,Offensive rebound by G. Yabusele
1,4:59.0,26-20,Knicks,J. Brunson makes 3-pt jump shot from 22 ft (assist by G. Yabusele)
1,4:48.0,26-22,76ers,T. Maxey makes 2-pt jump shot from 8 ft (assist by J. Embiid)
