quarter,time,score,team,description
1,1:15.0,24-29,76ers,J. McCain misses 2-pt layup from 4 ft (block by P. Washington)
1,1:15.0,24-29,76ers,Offensive rebound by V. Edgecombe
1,1:09.0,24-29,76ers,J. Embiid misses 3-pt jump shot from 25 ft
1,1:06.0,24-29,Mavericks,Defensive rebound by D. Gafford
1,0:57.0,24-29,Mavericks,D. Gafford misses 2-pt hook shot from 6 ft
1,0:55.0,24-29,76ers,Defensive rebound by J. Embiid
1,0:49.0,24-29,76ers,Shooting foul by D. Gafford (drawn by J. Embiid)
1,0:49.0,24-29,76ers,J. Embiid misses free throw 1 of 2
1,0:49.0,24-29,76ers,Offensive rebound by Team
1,0:49.0,25-29,76ers,J. Embiid makes free throw 2 of 2
1,0:40.0,25-31,Mavericks,B. Williams makes 2-pt layup at rim
1,0:32.0,25-31,76ers,J. Embiid misses 2-pt jump shot from 18 ft
1,0:32.0,25-31,Mavericks,Defensive rebound by P. Washington
1,0:17.0,25-31,Mavericks,B. Williams misses 2-pt layup from 2 ft
1,0:16.0,25-31,Mavericks,Offensive rebound by D. Gafford
1,0:16.0,25-33,Mavericks,D. Gafford makes 2-pt dunk at rim
1,0:00.0,27-33,76ers,P. George makes 2-pt jump shot from 4 ft
1,0:00.0,27-33,76ers,Instant Replay (Request: Ruling Stands)
2,12:00.0,27-33,76ers,Violation by Team (delay of game)
2,11:54.0,27-33,76ers,Turnover by P. George (bad pass)
2,11:41.0,27-35,Mavericks,K. Thompson makes 2-pt layup from 3 ft (assist by B. Williams)
2,11:25.0,27-35,76ers,P. George misses 3-pt jump shot from 26 ft
2,11:24.0,27-35,Mavericks,Defensive rebound by D. Gafford
2,11:20.0,27-35,Mavericks,Turnover by B. Williams (bad pass; steal by P. George)
2,11:16.0,29-35,76ers,P. George makes 2-pt layup from 3 ft
2,11:07.0,29-35,Mavericks,K. Thompson misses 3-pt jump shot from 26 ft
2,11:07.0,29-35,76ers,Defensive rebound by J. McCain
2,11:01.0,29-35,76ers,Personal foul by C. Martin (drawn by J. Embiid)
2,10:49.0,31-35,76ers,J. Embiid makes 2-pt layup from 4 ft (assist by T. Maxey)
2,10:49.0,31-35,76ers,Shooting foul by D. Gafford (drawn by J. Embiid)
2,10:49.0,31-35,Mavericks,A. Davis enters the game for D. Gafford
2,10:49.0,32-35,76ers,J. Embiid makes free throw 1 of 1
2,10:32.0,32-35,Mavericks,Personal foul by P. George (drawn by C. Martin)
2,10:26.0,32-35,Mavericks,P. Washington misses 3-pt jump shot from 24 ft
2,10:23.0,32-35,76ers,Defensive rebound by Q. Grimes
2,10:06.0,32-35,76ers,J. Embiid misses 3-pt jump shot from 24 ft
2,10:03.0,32-35,Mavericks,Defensive rebound by B. Williams
2,9:58.0,32-35,Mavericks,B. Williams misses 2-pt layup from 2 ft
2,9:54.0,32-35,Mavericks,Offensive rebound by A. Davis
2,9:54.0,32-35,Mavericks,A. Davis misses 2-pt layup at rim
2,9:53.0,32-35,76ers,Defensive rebound by T. Maxey
2,9:49.0,34-35,76ers,T. Maxey makes 2-pt layup from 2 ft
2,9:29.0,34-35,Mavericks,B. Williams misses 2-pt layup from 4 ft (block by T. Maxey)
2,9:27.0,34-35,76ers,Defensive rebound by T. Maxey
2,9:15.0,37-35,76ers,Q. Grimes makes 3-pt jump shot from 23 ft (assist by J. Embiid)
2,9:14.0,37-35,Mavericks,Dallas full timeout
2,9:14.0,37-35,Mavericks,C. Flagg enters the game for P. Washington
2,9:14.0,37-35,Mavericks,R. Nembhard enters the game for B. Williams
2,8:55.0,37-37,Mavericks,K. Thompson makes 2-pt jump shot from 8 ft
2,8:42.0,40-37,76ers,T. Maxey makes 3-pt jump shot from 25 ft
2,8:18.0,40-37,Mavericks,Turnover by A. Davis (bad pass; steal by J. McCain)
2,8:12.0,40-37,76ers,P. George misses 2-pt layup from 2 ft
2,8:09.0,40-37,76ers,Offensive rebound by P. George
2,8:08.0,40-37,76ers,Shooting foul by A. Davis (drawn by P. George)
2,8:08.0,41-37,76ers,P. George makes free throw 1 of 2
2,8:08.0,41-37,Mavericks,N. Marshall enters the game for C. Martin
2,8:08.0,42-37,76ers,P. George makes free throw 2 of 2
2,7:59.0,42-37,Mavericks,C. Flagg misses 2-pt jump shot from 12 ft (block by Q. Grimes)
2,7:59.0,42-37,76ers,Defensive rebound by T. Maxey
2,7:49.0,44-37,76ers,P. George makes 2-pt dunk from 2 ft (assist by T. Maxey)
2,7:49.0,44-37,Mavericks,Dallas full timeout
2,7:49.0,44-37,Mavericks,M. Christie enters the game for K. Thompson
2,7:35.0,44-37,Mavericks,Personal foul by J. McCain (drawn by A. Davis)
2,7:30.0,44-37,Mavericks,M. Christie misses 3-pt jump shot from 25 ft
2,7:27.0,44-37,76ers,Defensive rebound by Q. Grimes
2,7:19.0,44-37,76ers,Personal foul by C. Flagg (drawn by J. Embiid)
2,7:04.0,44-37,76ers,Q. Grimes misses 3-pt jump shot from 25 ft
2,6:58.0,44-37,Mavericks,Defensive rebound by N. Marshall
2,6:52.0,44-37,Mavericks,R. Nembhard misses 3-pt jump shot from 23 ft
2,6:49.0,44-37,76ers,Defensive rebound by J. McCain
2,6:45.0,44-37,76ers,J. McCain misses 2-pt jump shot from 3 ft
2,6:44.0,44-37,Mavericks,Defensive rebound by Team
2,6:31.0,44-39,Mavericks,A. Davis makes 2-pt hook shot from 10 ft
2,6:16.0,44-39,76ers,T. Maxey misses 3-pt jump shot from 27 ft
2,6:14.0,44-39,76ers,Offensive rebound by Team
2,6:14.0,44-39,Mavericks,Loose ball foul by C. Flagg (drawn by P. George)
2,6:14.0,45-39,76ers,P. George makes free throw 1 of 2
2,6:14.0,45-39,76ers,A. Drummond enters the game for J. Embiid
2,6:14.0,45-39,76ers,V. Edgecombe enters the game for J. McCain
2,6:14.0,46-39,76ers,P. George makes free throw 2 of 2
2,5:55.0,46-42,Mavericks,M. Christie makes 3-pt jump shot from 25 ft
2,5:45.0,46-42,76ers,Shooting foul by M. Christie (drawn by T. Maxey)
2,5:45.0,47-42,76ers,T. Maxey makes free throw 1 of 2
2,5:45.0,48-42,76ers,T. Maxey makes free throw 2 of 2
2,5:26.0,48-42,Mavericks,Shooting foul by Q. Grimes (drawn by A. Davis)
2,5:26.0,48-43,Mavericks,A. Davis makes free throw 1 of 2
2,5:26.0,48-43,Mavericks,A. Davis misses free throw 2 of 2
2,5:24.0,48-43,76ers,Defensive rebound by A. Drummond
2,5:15.0,48-43,76ers,Offensive foul by A. Drummond (drawn by N. Marshall)
2,5:15.0,48-43,76ers,Turnover by A. Drummond (offensive foul)
2,5:15.0,48-43,Mavericks,P. Washington enters the game for N. Marshall
2,5:00.0,48-43,Mavericks,C. Flagg misses 3-pt jump shot from 25 ft
2,4:58.0,48-43,Mavericks,Offensive rebound by Team
2,4:58.0,48-43,76ers,Loose ball foul by A. Drummond (drawn by A. Davis)
2,4:51.0,48-45,Mavericks,A. Davis makes 2-pt jump shot from 8 ft
2,4:40.0,50-45,76ers,T. Maxey makes 2-pt layup from 2 ft
2,4:31.0,50-45,Mavericks,Turnover by A. Davis (lost ball; steal by T. Maxey)
2,4:20.0,50-45,76ers,P. George misses 3-pt jump shot from 26 ft
2,4:18.0,50-45,76ers,Offensive rebound by A. Drummond
2,4:16.0,52-45,76ers,A. Drummond makes 2-pt hook shot from 5 ft
2,3:53.0,52-45,Mavericks,C. Flagg misses 2-pt jump shot from 24 ft
2,3:51.0,52-45,76ers,Defensive rebound by T. Maxey
2,3:49.0,54-45,76ers,Q. Grimes makes 2-pt layup from 2 ft (assist by T. Maxey)
2,3:41.0,54-48,Mavericks,R. Nembhard makes 3-pt jump shot from 25 ft
2,3:15.0,54-48,76ers,Shooting foul by M. Christie (drawn by V. Edgecombe)
2,3:15.0,55-48,76ers,V. Edgecombe makes free throw 1 of 2
2,3:15.0,55-48,76ers,D. Barlow enters the game for A. Drummond
2,3:15.0,55-48,76ers,J. Embiid enters the game for P. George
2,3:15.0,56-48,76ers,V. Edgecombe makes free throw 2 of 2
2,2:56.0,56-48,Mavericks,P. Washington misses 3-pt jump shot from 24 ft
2,2:54.0,56-48,76ers,Defensive rebound by Q. Grimes
2,2:45.0,59-48,76ers,Q. Grimes makes 3-pt jump shot from 27 ft (assist by J. Embiid)
2,2:25.0,59-48,Mavericks,A. Davis misses 2-pt jump shot from 17 ft
2,2:24.0,59-48,Mavericks,Offensive rebound by Team
2,2:24.0,59-48,76ers,Loose ball foul by D. Barlow (drawn by C. Flagg)
2,2:24.0,59-49,Mavericks,C. Flagg makes free throw 1 of 2
2,2:24.0,59-50,Mavericks,C. Flagg makes free throw 2 of 2
2,2:12.0,59-50,76ers,V. Edgecombe misses 2-pt jump shot from 4 ft
2,2:10.0,59-50,76ers,Offensive rebound by V. Edgecombe
2,2:08.0,61-50,76ers,V. Edgecombe makes 2-pt layup from 5 ft
2,2:08.0,61-50,76ers,Shooting foul by P. Washington (drawn by V. Edgecombe)
2,2:08.0,61-50,76ers,V. Edgecombe misses free throw 1 of 1
2,2:04.0,61-50,Mavericks,Defensive rebound by C. Flagg
2,1:55.0,61-50,Mavericks,C. Flagg misses 2-pt layup from 4 ft (block by J. Embiid)
2,1:55.0,61-50,Mavericks,Offensive rebound by Team
2,1:44.0,61-52,Mavericks,R. Nembhard makes 2-pt jump shot from 12 ft (assist by M. Christie)
2,1:24.0,61-52,76ers,Shooting foul by A. Davis (drawn by J. Embiid)
2,1:24.0,62-52,76ers,J. Embiid makes free throw 1 of 2
2,1:24.0,62-52,76ers,A. Bona enters the game for D. Barlow
2,1:24.0,63-52,76ers,J. Embiid makes free throw 2 of 2
2,1:12.0,63-54,Mavericks,P. Washington makes 2-pt jump shot from 8 ft (assist by C. Flagg)
2,1:12.0,63-54,Mavericks,Shooting foul by J. Embiid (drawn by P. Washington)
2,1:12.0,63-55,Mavericks,P. Washington makes free throw 1 of 1
2,1:00.0,65-55,76ers,J. Embiid makes 2-pt layup from 1 ft
2,0:43.0,65-57,Mavericks,C. Flagg makes 2-pt layup from 2 ft (assist by A. Davis)
2,0:26.0,68-57,76ers,V. Edgecombe makes 3-pt jump shot from 23 ft (assist by Q. Grimes)
2,0:04.0,68-57,Mavericks,C. Flagg misses 2-pt jump shot from 22 ft
2,0:01.0,68-57,Mavericks,Offensive rebound by Team
2,0:01.0,68-57,76ers,P. George enters the game for J. Embiid
2,0:01.0,68-57,Mavericks,K. Thompson enters the game for P. Washington
2,0:00.0,68-57,Mavericks,M. Christie misses 3-pt jump shot from 23 ft
2,0:00.0,68-57,Mavericks,Offensive rebound by Team
3,11:44.0,68-57,76ers,P. George misses 2-pt jump shot from 9 ft
3,11:42.0,68-57,Mavericks,Defensive rebound by C. Flagg
3,11:23.0,68-57,Mavericks,R. Nembhard misses 2-pt jump shot from 16 ft
3,11:20.0,68-57,76ers,Defensive rebound by V. Edgecombe
3,11:08.0,68-57,76ers,J. Embiid misses 2-pt jump shot from 23 ft
3,11:06.0,68-57,Mavericks,Defensive rebound by R. Nembhard
3,10:59.0,68-57,Mavericks,Shooting foul by P. George (drawn by P. Washington)
3,10:59.0,68-58,Mavericks,P. Washington makes free throw 1 of 2
3,10:59.0,68-58,Mavericks,P. Washington misses free throw 2 of 2
3,10:57.0,68-58,76ers,Defensive rebound by P. George
3,10:38.0,68-58,76ers,J. Embiid misses 2-pt jump shot from 2 ft
3,10:35.0,68-58,Mavericks,Defensive rebound by C. Flagg
3,10:28.0,68-58,Mavericks,M. Christie misses 3-pt jump shot from 25 ft
3,10:26.0,68-58,76ers,Defensive rebound by J. Embiid
3,10:17.0,71-58,76ers,D. Barlow makes 3-pt jump shot from 24 ft (assist by J. Embiid)
