quarter,time,score,team,description
1,2:50.0,16-24,Hornets,Loose ball foul by K. Knueppel (drawn by A. Bona)
1,2:44.0,16-24,76ers,Shooting foul by C. Sexton (drawn by Q. Grimes)
1,2:44.0,16-24,76ers,Instant Replay (Request: Stands)
1,2:44.0,16-24,Hornets,Violation by Team (delay of game)
1,2:44.0,17-24,76ers,Q. Grimes makes free throw 1 of 3
1,2:44.0,18-24,76ers,Q. Grimes makes free throw 2 of 3
1,2:44.0,19-24,76ers,Q. Grimes makes free throw 3 of 3
1,2:31.0,19-26,Hornets,R. Kalkbrenner makes 2-pt dunk from 6 ft (assist by K. Knueppel)
1,2:14.0,19-26,76ers,J. McCain misses 3-pt jump shot from 22 ft
1,2:08.0,19-26,76ers,Offensive rebound by J. Walker
1,2:05.0,19-26,76ers,J. McCain misses 3-pt jump shot from 25 ft
1,2:00.0,19-26,Hornets,Defensive rebound by G. Williams
1,1:52.0,19-26,Hornets,Turnover by C. Sexton (bad pass; steal by A. Bona)
1,1:43.0,19-26,76ers,Turnover by T. Maxey (out of bounds lost ball)
1,1:43.0,19-26,76ers,V. Edgecombe enters the game for T. Maxey
1,1:26.0,19-28,Hornets,G. Williams makes 2-pt jump shot from 12 ft (assist by R. Kalkbrenner)
1,1:00.0,19-28,76ers,V. Edgecombe misses 2-pt layup from 8 ft
1,0:56.0,19-28,Hornets,Defensive rebound by G. Williams
1,0:49.0,19-28,Hornets,Turnover by K. Knueppel (bad pass; steal by J. Walker)
1,0:43.0,19-28,76ers,Q. Grimes misses 2-pt layup from 3 ft
1,0:43.0,19-28,Hornets,Defensive rebound by Team
1,0:43.0,19-28,76ers,Loose ball foul by V. Edgecombe (drawn by S. James)
1,0:35.0,19-28,Hornets,K. Knueppel misses 3-pt jump shot from 27 ft
1,0:35.0,19-28,76ers,Defensive rebound by J. Walker
1,0:20.0,22-28,76ers,J. Walker makes 3-pt jump shot from 23 ft (assist by Q. Grimes)
1,0:01.0,22-28,Hornets,Turnover by K. Knueppel (lost ball; steal by J. Walker)
1,0:00.0,22-28,76ers,Team misses heave shot
1,0:00.0,22-28,76ers,Offensive rebound by Team
2,11:42.0,22-30,Hornets,K. Knueppel makes 2-pt jump shot from 15 ft (assist by L. Ball)
2,11:26.0,22-30,76ers,V. Edgecombe misses 2-pt jump shot from 16 ft
2,11:25.0,22-30,76ers,Offensive rebound by V. Edgecombe
2,11:25.0,22-30,76ers,Turnover by V. Edgecombe (lost ball; steal by K. Knueppel)
2,11:13.0,22-30,Hornets,Turnover by C. Sexton (bad pass; steal by A. Drummond)
2,11:08.0,24-30,76ers,J. McCain makes 2-pt layup from 2 ft
2,10:54.0,24-30,Hornets,L. Ball misses 2-pt jump shot from 8 ft
2,10:46.0,24-30,Hornets,Offensive rebound by L. Ball
2,10:46.0,24-32,Hornets,L. Ball makes 2-pt layup at rim
2,10:46.0,24-32,76ers,Personal foul by K. Knueppel (drawn by Q. Grimes)
2,10:34.0,24-32,76ers,J. Walker misses 3-pt jump shot from 23 ft
2,10:31.0,24-32,Hornets,Defensive rebound by M. Diabaté
2,10:26.0,24-32,Hornets,Shooting foul by J. Walker (drawn by C. Sexton)
2,10:26.0,24-33,Hornets,C. Sexton makes free throw 1 of 2
2,10:26.0,24-33,Hornets,M. Bridges enters the game for K. Knueppel
2,10:26.0,24-33,Hornets,B. Miller enters the game for G. Williams
2,10:26.0,24-34,Hornets,C. Sexton makes free throw 2 of 2
2,10:13.0,24-34,76ers,J. McCain misses 2-pt jump shot from 8 ft (block by M. Bridges)
2,10:13.0,24-34,76ers,Offensive rebound by Team
2,10:04.0,26-34,76ers,A. Drummond makes 2-pt layup from 4 ft (assist by Q. Grimes)
2,9:50.0,26-34,Hornets,C. Sexton misses 3-pt jump shot from 27 ft
2,9:46.0,26-34,76ers,Defensive rebound by Q. Grimes
2,9:41.0,26-34,76ers,Turnover by J. McCain (bad pass)
2,9:35.0,26-36,Hornets,M. Diabaté makes 2-pt dunk from 5 ft (assist by L. Ball)
2,9:27.0,26-36,76ers,Offensive foul by A. Drummond (drawn by L. Ball)
2,9:27.0,26-36,76ers,Turnover by A. Drummond (offensive foul)
2,9:27.0,26-36,76ers,D. Barlow enters the game for J. McCain
2,9:27.0,26-36,76ers,K. Oubre enters the game for J. Walker
2,9:27.0,26-36,Hornets,J. Green enters the game for C. Sexton
2,9:15.0,26-36,Hornets,Personal foul by K. Oubre (drawn by B. Miller)
2,9:06.0,26-36,Hornets,L. Ball misses 3-pt jump shot from 31 ft
2,8:57.0,26-36,76ers,Defensive rebound by V. Edgecombe
2,8:55.0,28-36,76ers,Q. Grimes makes 2-pt layup from 2 ft (assist by V. Edgecombe)
2,8:47.0,28-38,Hornets,M. Diabaté makes 2-pt dunk from 6 ft (assist by L. Ball)
2,8:46.0,28-38,76ers,Philadelphia full timeout
2,8:32.0,28-38,76ers,D. Barlow misses 2-pt jump shot from 12 ft
2,8:29.0,28-38,Hornets,Defensive rebound by B. Miller
2,8:16.0,28-38,Hornets,Flagrant foul type 1 by Q. Grimes (drawn by J. Green)
2,8:16.0,28-38,Hornets,Instant Replay (Request: Ruling Stands)
2,8:16.0,28-39,Hornets,J. Green makes flagrant free throw 1 of 3
2,8:16.0,28-40,Hornets,J. Green makes flagrant free throw 2 of 3
2,8:16.0,28-41,Hornets,J. Green makes flagrant free throw 3 of 3
