quarter,time,score,team,description
1,11:47.0,0-0,Timberwolves,J. McDaniels misses 3-pt jump shot from 25 ft
1,11:42.0,0-0,Grizzlies,Defensive rebound by C. Coward
1,11:20.0,0-2,Grizzlies,T. Jerome makes 2-pt jump shot from 2 ft
1,11:00.0,0-2,Timberwolves,A. Edwards misses 2-pt layup from 2 ft
1,10:56.0,0-2,Timberwolves,Offensive rebound by R. Gobert
1,10:56.0,2-2,Timberwolves,R. Gobert makes 2-pt layup at rim
1,10:45.0,2-2,Grizzlies,T. Jerome misses 3-pt jump shot from 34 ft
1,10:41.0,2-2,Grizzlies,Offensive rebound by V. Williams
1,10:33.0,2-4,Grizzlies,T. Jerome makes 2-pt layup from 2 ft (assist by J. Landale)
1,10:12.0,2-4,Timberwolves,R. Gobert misses 2-pt jump shot from 8 ft
1,10:09.0,2-4,Grizzlies,Defensive rebound by V. Williams
1,10:01.0,2-7,Grizzlies,J. Landale makes 3-pt jump shot from 26 ft (assist by T. Jerome)
1,9:48.0,5-7,Timberwolves,D. DiVincenzo makes 3-pt jump shot from 22 ft
1,9:33.0,5-7,Grizzlies,T. Jerome misses 3-pt jump shot from 25 ft
1,9:30.0,5-7,Timberwolves,Defensive rebound by R. Gobert
1,9:26.0,8-7,Timberwolves,J. Randle makes 3-pt jump shot from 26 ft (assist by A. Edwards)
1,9:21.0,8-7,Timberwolves,Technical foul by R. Gobert
1,9:21.0,8-8,Grizzlies,T. Jerome makes technical free throw
1,9:08.0,8-8,Grizzlies,V. Williams misses 3-pt jump shot from 26 ft
1,9:06.0,8-8,Grizzlies,Offensive rebound by J. Landale
1,9:04.0,8-8,Grizzlies,Turnover by J. Landale (bad pass; steal by D. DiVincenzo)
1,8:57.0,11-8,Timberwolves,J. Randle makes 3-pt jump shot from 26 ft (assist by J. McDaniels)
1,8:42.0,11-10,Grizzlies,J. Wells makes 2-pt layup from 2 ft (assist by T. Jerome)
1,8:28.0,11-10,Timberwolves,J. Randle misses 2-pt jump shot from 18 ft
1,8:25.0,11-10,Grizzlies,Defensive rebound by Team
1,8:14.0,11-10,Grizzlies,J. Landale misses 3-pt jump shot from 28 ft
1,8:10.0,11-10,Timberwolves,Defensive rebound by J. Randle
1,8:01.0,11-10,Timberwolves,A. Edwards misses 3-pt jump shot from 25 ft
1,7:56.0,11-10,Grizzlies,Defensive rebound by J. Wells
1,7:49.0,11-10,Grizzlies,J. Wells misses 3-pt jump shot from 25 ft
1,7:44.0,11-10,Timberwolves,Defensive rebound by J. McDaniels
1,7:34.0,14-10,Timberwolves,A. Edwards makes 3-pt jump shot from 25 ft
1,7:22.0,14-10,Grizzlies,Shooting foul by A. Edwards (drawn by T. Jerome)
1,7:22.0,14-11,Grizzlies,T. Jerome makes free throw 1 of 3
1,7:22.0,14-11,Grizzlies,T. Jerome misses free throw 2 of 3
1,7:22.0,14-11,Grizzlies,Offensive rebound by Team
1,7:22.0,14-12,Grizzlies,T. Jerome makes free throw 3 of 3
1,6:58.0,14-12,Timberwolves,A. Edwards misses 3-pt jump shot from 27 ft
1,6:55.0,14-12,Grizzlies,Defensive rebound by V. Williams
1,6:46.0,14-12,Grizzlies,C. Coward misses 2-pt jump shot from 9 ft
1,6:44.0,14-12,Timberwolves,Defensive rebound by J. Randle
1,6:26.0,14-12,Timberwolves,Shooting foul by J. Wells (drawn by A. Edwards)
1,6:26.0,14-12,Grizzlies,Memphis full timeout
1,6:26.0,14-12,Grizzlies,G. Jackson enters the game for C. Coward
1,6:26.0,14-12,Grizzlies,J. Small enters the game for T. Jerome
1,6:26.0,14-12,Grizzlies,C. Spencer enters the game for V. Williams
1,6:26.0,15-12,Timberwolves,A. Edwards makes free throw 1 of 2
1,6:26.0,16-12,Timberwolves,A. Edwards makes free throw 2 of 2
1,6:16.0,16-14,Grizzlies,G. Jackson makes 2-pt dunk at rim (assist by J. Small)
1,5:57.0,18-14,Timberwolves,R. Gobert makes 2-pt layup from 2 ft (assist by D. DiVincenzo)
1,5:44.0,18-14,Grizzlies,J. Wells misses 3-pt jump shot from 24 ft
1,5:41.0,18-14,Timberwolves,Defensive rebound by J. McDaniels
1,5:30.0,18-14,Timberwolves,Personal foul by C. Spencer (drawn by J. McDaniels)
1,5:30.0,18-14,Timberwolves,N. Reid enters the game for J. Randle
1,5:27.0,18-14,Timberwolves,Offensive foul by D. DiVincenzo (drawn by J. Wells)
1,5:27.0,18-14,Timberwolves,Turnover by D. DiVincenzo (offensive foul)
1,5:10.0,18-14,Grizzlies,J. Landale misses 3-pt jump shot from 27 ft
1,5:08.0,18-14,Timberwolves,Defensive rebound by R. Gobert
1,4:56.0,18-14,Timberwolves,D. DiVincenzo misses 2-pt jump shot from 13 ft
1,4:53.0,18-14,Grizzlies,Defensive rebound by C. Spencer
1,4:50.0,18-16,Grizzlies,J. Small makes 2-pt jump shot from 5 ft (assist by C. Spencer)
1,4:28.0,20-16,Timberwolves,J. McDaniels makes 2-pt jump shot from 5 ft (assist by N. Reid)
1,4:19.0,20-16,Grizzlies,Shooting foul by D. DiVincenzo (drawn by J. Wells)
1,4:19.0,20-17,Grizzlies,J. Wells makes free throw 1 of 2
1,4:19.0,20-17,Timberwolves,M. Conley enters the game for D. DiVincenzo
1,4:19.0,20-17,Grizzlies,O. Prosper enters the game for J. Landale
1,4:19.0,20-17,Grizzlies,J. Wells misses free throw 2 of 2
1,4:17.0,20-17,Timberwolves,Defensive rebound by R. Gobert
1,4:11.0,20-17,Timberwolves,J. McDaniels misses 2-pt jump shot from 2 ft
1,4:07.0,20-17,Grizzlies,Defensive rebound by J. Wells
1,4:06.0,20-17,Grizzlies,J. Small misses 3-pt jump shot from 25 ft
1,4:01.0,20-17,Timberwolves,Defensive rebound by N. Reid
1,3:59.0,20-17,Timberwolves,Turnover by N. Reid (bad pass)
1,3:59.0,20-17,Timberwolves,J. Randle enters the game for R. Gobert
1,3:59.0,20-17,Grizzlies,K. Caldwell-Pope enters the game for J. Wells
1,3:48.0,20-17,Grizzlies,Personal foul by J. Randle (drawn by C. Spencer)
1,3:34.0,20-17,Grizzlies,O. Prosper misses 3-pt jump shot from 34 ft
1,3:34.0,20-17,Grizzlies,Offensive rebound by Team
1,3:34.0,20-17,Grizzlies,Turnover by Team (shot clock)
