quarter,time,score,team,description
1,11:45.0,0-2,Grizzlies,J. Morant makes 2-pt jump shot from 8 ft
1,11:29.0,0-2,76ers,J. Embiid misses 2-pt hook shot from 7 ft
1,11:27.0,0-2,Grizzlies,Defensive rebound by C. Coward
1,11:22.0,0-2,Grizzlies,Turnover by J. Morant (bad pass; steal by V. Edgecombe)
1,11:17.0,0-2,76ers,P. George misses 2-pt jump shot from 10 ft
1,11:14.0,0-2,Grizzlies,Defensive rebound by J. Jackson
1,11:07.0,0-4,Grizzlies,C. Coward makes 2-pt jump shot from 11 ft (assist by J. Jackson)
1,10:45.0,3-4,76ers,V. Edgecombe makes 3-pt jump shot from 26 ft
1,10:29.0,3-4,Grizzlies,Turnover by J. Morant (bad pass; steal by D. Barlow)
1,10:24.0,3-4,76ers,Turnover by V. Edgecombe (lost ball; steal by J. Morant)
1,10:20.0,3-6,Grizzlies,J. Morant makes 2-pt layup from 2 ft (assist by J. Jackson)
1,10:08.0,3-6,76ers,V. Edgecombe misses 3-pt jump shot from 26 ft
1,10:05.0,3-6,Grizzlies,Defensive rebound by J. Jackson
1,10:02.0,3-6,Grizzlies,Turnover by C. Coward (bad pass; steal by V. Edgecombe)
1,9:46.0,3-6,76ers,Turnover by P. George (out of bounds lost ball)
1,9:46.0,3-6,Grizzlies,J. Landale enters the game for C. Koloko
1,9:35.0,3-6,Grizzlies,C. Coward misses 3-pt jump shot from 23 ft
1,9:32.0,3-6,Grizzlies,Offensive rebound by C. Coward
1,9:24.0,3-9,Grizzlies,J. Wells makes 3-pt jump shot from 25 ft (assist by J. Landale)
1,9:07.0,5-9,76ers,J. Embiid makes 2-pt jump shot from 15 ft (assist by T. Maxey)
1,8:50.0,5-12,Grizzlies,J. Jackson makes 3-pt jump shot from 28 ft (assist by J. Wells)
1,8:28.0,7-12,76ers,D. Barlow makes 2-pt layup from 3 ft (assist by J. Embiid)
1,8:15.0,7-14,Grizzlies,J. Wells makes 2-pt jump shot from 13 ft (assist by J. Landale)
1,7:57.0,7-14,76ers,P. George misses 3-pt jump shot from 26 ft
1,7:56.0,7-14,Grizzlies,Defensive rebound by J. Jackson
1,7:51.0,7-17,Grizzlies,C. Coward makes 3-pt jump shot from 23 ft (assist by J. Morant)
1,7:42.0,7-17,76ers,Philadelphia full timeout
1,7:42.0,7-17,Grizzlies,S. Aldama enters the game for C. Coward
1,7:42.0,7-17,Grizzlies,G. Jackson enters the game for J. Jackson
1,7:21.0,9-17,76ers,T. Maxey makes 2-pt jump shot from 21 ft (assist by J. Embiid)
1,7:03.0,9-17,Grizzlies,Shooting foul by J. Embiid (drawn by J. Morant)
1,7:03.0,9-17,Grizzlies,J. Morant misses free throw 1 of 2
1,7:03.0,9-17,Grizzlies,Offensive rebound by Team
1,7:03.0,9-18,Grizzlies,J. Morant makes free throw 2 of 2
1,6:43.0,11-18,76ers,T. Maxey makes 2-pt layup from 1 ft
1,6:25.0,11-18,Grizzlies,S. Aldama misses 2-pt jump shot from 7 ft
1,6:23.0,11-18,76ers,Defensive rebound by P. George
