quarter,time,score,team,description
1,11:37.0,3-0,Cavaliers,J. Tyson makes 3-pt jump shot from 28 ft (assist by D. Mitchell)
1,11:18.0,3-0,Clippers,K. Dunn misses 3-pt jump shot from 27 ft
1,11:14.0,3-0,Cavaliers,Defensive rebound by D. Wade
1,11:09.0,3-0,Cavaliers,Shooting foul by J. Collins (drawn by D. Mitchell)
1,11:09.0,4-0,Cavaliers,D. Mitchell makes free throw 1 of 2
1,11:09.0,5-0,Cavaliers,D. Mitchell makes free throw 2 of 2
1,10:55.0,5-0,Clippers,B. Lopez misses 3-pt jump shot from 28 ft
1,10:52.0,5-0,Cavaliers,Defensive rebound by D. Wade
1,10:41.0,7-0,Cavaliers,J. Allen makes 2-pt dunk from 4 ft (assist by D. Mitchell)
1,10:25.0,7-2,Clippers,J. Collins makes 2-pt hook shot from 5 ft (assist by K. Dunn)
1,10:08.0,7-2,Cavaliers,D. Mitchell misses 3-pt jump shot from 29 ft
1,10:05.0,7-2,Clippers,Defensive rebound by J. Collins
1,9:51.0,7-2,Clippers,J. Collins misses 3-pt jump shot from 22 ft
1,9:47.0,7-2,Cavaliers,Defensive rebound by J. Allen
1,9:40.0,9-2,Cavaliers,J. Tyson makes 2-pt jump shot from 4 ft (assist by J. Allen)
1,9:29.0,9-2,Clippers,K. Leonard misses 3-pt jump shot from 25 ft
1,9:26.0,9-2,Cavaliers,Defensive rebound by D. Mitchell
1,9:13.0,9-2,Cavaliers,S. Merrill misses 3-pt jump shot from 29 ft
1,9:09.0,9-2,Clippers,Defensive rebound by K. Sanders
1,9:03.0,9-4,Clippers,J. Collins makes 2-pt layup from 2 ft (assist by K. Dunn)
1,9:03.0,9-4,Clippers,Shooting foul by D. Mitchell (drawn by J. Collins)
1,9:03.0,9-5,Clippers,J. Collins makes free throw 1 of 1
1,8:54.0,11-5,Cavaliers,J. Allen makes 2-pt dunk from 2 ft (assist by D. Mitchell)
1,8:26.0,11-5,Clippers,K. Sanders misses 3-pt jump shot from 23 ft
1,8:22.0,11-5,Clippers,Offensive rebound by B. Lopez
1,8:11.0,11-5,Clippers,K. Dunn misses 2-pt jump shot from 6 ft
1,8:10.0,11-5,Clippers,Offensive rebound by J. Collins
1,8:09.0,11-7,Clippers,J. Collins makes 2-pt dunk at rim
1,7:53.0,13-7,Cavaliers,D. Mitchell makes 2-pt jump shot from 18 ft
1,7:42.0,13-9,Clippers,K. Leonard makes 2-pt jump shot from 11 ft
1,7:42.0,13-9,Clippers,Shooting foul by J. Tyson (drawn by K. Leonard)
1,7:42.0,13-10,Clippers,K. Leonard makes free throw 1 of 1
1,7:22.0,13-10,Cavaliers,D. Wade misses 3-pt jump shot from 26 ft
1,7:22.0,13-10,Cavaliers,Offensive rebound by J. Tyson
1,7:21.0,13-10,Cavaliers,Shooting foul by K. Sanders (drawn by J. Tyson)
1,7:21.0,13-10,Cavaliers,J. Tyson misses free throw 1 of 2
1,7:21.0,13-10,Cavaliers,Offensive rebound by Team
1,7:21.0,13-10,Cavaliers,D. Schröder enters the game for D. Mitchell
1,7:21.0,13-10,Cavaliers,N. Tomlin enters the game for D. Wade
1,7:21.0,13-10,Cavaliers,J. Tyson misses free throw 2 of 2
1,7:19.0,13-10,Clippers,Defensive rebound by K. Leonard
1,7:04.0,13-10,Clippers,Turnover by K. Leonard (bad pass)
1,6:47.0,15-10,Cavaliers,D. Schröder makes 2-pt layup from 2 ft
1,6:28.0,15-10,Clippers,Turnover by K. Leonard (lost ball; steal by D. Schröder)
1,6:26.0,15-10,Cavaliers,Turnover by D. Schröder (traveling)
1,6:26.0,15-10,Clippers,LA Clippers full timeout
1,6:08.0,15-10,Clippers,B. Lopez misses 2-pt jump shot from 20 ft
1,6:06.0,15-10,Cavaliers,Defensive rebound by J. Allen
1,6:00.0,17-10,Cavaliers,J. Allen makes 2-pt dunk from 3 ft
1,5:46.0,17-10,Clippers,Offensive foul by K. Sanders (drawn by D. Schröder)
1,5:46.0,17-10,Clippers,Turnover by K. Sanders (offensive foul)
1,5:46.0,17-10,Clippers,B. Bogdanović enters the game for K. Sanders
1,5:31.0,17-10,Cavaliers,N. Tomlin misses 3-pt jump shot from 26 ft
1,5:30.0,17-10,Cavaliers,Offensive rebound by J. Tyson
1,5:27.0,17-10,Cavaliers,D. Schröder misses 3-pt jump shot from 28 ft
1,5:27.0,17-10,Cavaliers,Offensive rebound by J. Allen
1,5:26.0,19-10,Cavaliers,J. Allen makes 2-pt layup at rim
1,5:09.0,19-12,Clippers,B. Lopez makes 2-pt hook shot from 13 ft (assist by K. Dunn)
1,4:57.0,22-12,Cavaliers,J. Tyson makes 3-pt jump shot from 26 ft (assist by D. Schröder)
1,4:45.0,22-12,Clippers,B. Lopez misses 3-pt jump shot from 27 ft
1,4:43.0,22-12,Cavaliers,Defensive rebound by J. Tyson
1,4:37.0,25-12,Cavaliers,S. Merrill makes 3-pt jump shot from 28 ft (assist by N. Tomlin)
1,4:27.0,25-12,Clippers,Personal foul by N. Tomlin (drawn by K. Leonard)
1,4:27.0,25-12,Cavaliers,T. Bryant enters the game for J. Allen
1,4:27.0,25-12,Cavaliers,D. Mitchell enters the game for S. Merrill
1,4:27.0,25-12,Cavaliers,C. Porter enters the game for J. Tyson
1,4:27.0,25-12,Clippers,Y. Konan Niederhäuser enters the game for K. Dunn
1,4:27.0,25-12,Clippers,J. Miller enters the game for B. Lopez
1,4:17.0,25-14,Clippers,K. Leonard makes 2-pt jump shot from 4 ft
1,4:03.0,25-14,Cavaliers,D. Schröder misses 2-pt layup from 3 ft
1,4:02.0,25-14,Cavaliers,Offensive rebound by T. Bryant
1,4:01.0,27-14,Cavaliers,T. Bryant makes 2-pt layup at rim
1,3:42.0,27-16,Clippers,K. Leonard makes 2-pt jump shot from 14 ft
1,3:21.0,27-16,Cavaliers,T. Bryant misses 2-pt hook shot from 8 ft
1,3:19.0,27-16,Clippers,Defensive rebound by K. Leonard
1,3:14.0,27-16,Clippers,B. Bogdanović misses 3-pt jump shot from 28 ft
1,3:09.0,27-16,Cavaliers,Defensive rebound by N. Tomlin
1,3:04.0,27-16,Cavaliers,D. Mitchell misses 2-pt jump shot from 12 ft
1,3:01.0,27-16,Clippers,Defensive rebound by K. Leonard
1,2:57.0,27-16,Clippers,Personal foul by C. Porter (drawn by K. Leonard)
1,2:57.0,27-16,Cavaliers,Cleveland full timeout
1,2:57.0,27-16,Clippers,N. Batum enters the game for K. Leonard
1,2:51.0,27-16,Clippers,J. Collins misses 2-pt layup from 4 ft
1,2:47.0,27-16,Cavaliers,Defensive rebound by T. Bryant
1,2:39.0,27-16,Cavaliers,D. Mitchell misses 3-pt jump shot from 24 ft
1,2:37.0,27-16,Clippers,Defensive rebound by Y. Konan Niederhäuser
1,2:29.0,27-16,Clippers,J. Miller misses 2-pt layup from 2 ft
1,2:28.0,27-16,Clippers,Offensive rebound by J. Miller
1,2:27.0,27-16,Clippers,J. Miller misses 2-pt layup from 2 ft (block by T. Bryant)
1,2:26.0,27-16,Cavaliers,Defensive rebound by D. Schröder
1,2:15.0,27-16,Cavaliers,D. Schröder misses 2-pt jump shot from 12 ft
