quarter,time,score,team,description
1,11:43.0,0-2,76ers,J. Embiid makes 2-pt jump shot from 11 ft (assist by T. Maxey)
1,11:25.0,0-2,Wizards,Turnover by B. Carrington (bad pass; steal by V. Edgecombe)
1,11:18.0,0-2,76ers,D. Barlow misses 2-pt layup from 5 ft (block by J. Champagnie)
1,11:18.0,0-2,Wizards,Defensive rebound by Team
1,11:02.0,0-2,Wizards,B. Coulibaly misses 2-pt layup from 2 ft
1,11:00.0,0-2,76ers,Defensive rebound by J. Embiid
1,10:57.0,0-5,76ers,T. Maxey makes 3-pt jump shot from 28 ft
1,10:37.0,0-5,Wizards,A. Sarr misses 2-pt jump shot from 6 ft
1,10:36.0,0-5,76ers,Defensive rebound by V. Edgecombe
1,10:34.0,0-5,76ers,V. Edgecombe misses 3-pt jump shot from 27 ft
1,10:29.0,0-5,76ers,Offensive rebound by Team
1,10:23.0,0-7,76ers,J. Embiid makes 2-pt dunk from 1 ft (assist by P. George)
1,10:23.0,0-7,Wizards,Washington full timeout
1,10:04.0,3-7,Wizards,B. Coulibaly makes 3-pt jump shot from 26 ft (assist by T. Johnson)
1,9:42.0,3-7,76ers,P. George misses 3-pt jump shot from 26 ft
1,9:38.0,3-7,Wizards,Defensive rebound by B. Carrington
1,9:34.0,5-7,Wizards,J. Champagnie makes 2-pt layup from 1 ft (assist by B. Carrington)
1,9:16.0,5-9,76ers,D. Barlow makes 2-pt dunk from 1 ft (assist by T. Maxey)
1,9:00.0,5-9,Wizards,Turnover by B. Carrington (lost ball; steal by V. Edgecombe)
1,8:52.0,5-9,76ers,V. Edgecombe misses 2-pt layup from 2 ft (block by A. Sarr)
1,8:49.0,5-9,76ers,Offensive rebound by D. Barlow
1,8:47.0,5-9,76ers,T. Maxey misses 3-pt jump shot from 27 ft
1,8:47.0,5-9,Wizards,Defensive rebound by J. Champagnie
1,8:36.0,5-9,Wizards,Turnover by T. Johnson (lost ball; steal by P. George)
1,8:31.0,5-11,76ers,T. Maxey makes 2-pt layup from 2 ft (assist by P. George)
1,8:19.0,5-11,Wizards,T. Johnson misses 3-pt jump shot from 26 ft
1,8:17.0,5-11,76ers,Defensive rebound by Team
1,8:07.0,5-14,76ers,T. Maxey makes 3-pt jump shot from 27 ft (assist by V. Edgecombe)
1,7:49.0,7-14,Wizards,A. Sarr makes 2-pt hook shot from 3 ft (assist by T. Johnson)
