quarter,time,score,team,description
1,11:44.0,0-0,Warriors,Shooting foul by D. Robinson (drawn by A. Horford)
1,11:44.0,0-1,Warriors,A. Horford makes free throw 1 of 2
1,11:44.0,0-2,Warriors,A. Horford makes free throw 2 of 2
1,11:28.0,2-2,Pistons,C. Cunningham makes 2-pt layup from 2 ft (assist by J. Duren)
1,11:22.0,2-4,Warriors,D. Green makes 2-pt layup from 4 ft (assist by B. Podziemski)
1,11:22.0,2-4,Warriors,Shooting foul by J. Duren (drawn by D. Green)
1,11:22.0,2-5,Warriors,D. Green makes free throw 1 of 1
1,11:00.0,4-5,Pistons,A. Thompson makes 2-pt layup from 6 ft (assist by J. Duren)
1,10:52.0,4-8,Warriors,M. Moody makes 3-pt jump shot from 25 ft (assist by B. Podziemski)
1,10:50.0,4-8,Pistons,Detroit full timeout
1,10:31.0,4-8,Pistons,C. Cunningham misses 2-pt jump shot from 10 ft
1,10:28.0,4-8,Warriors,Defensive rebound by D. Green
1,10:21.0,4-8,Warriors,D. Green misses 3-pt jump shot from 25 ft
1,10:18.0,4-8,Warriors,Offensive rebound by B. Podziemski
1,10:10.0,4-8,Warriors,Turnover by A. Horford (bad pass; steal by A. Thompson)
1,10:02.0,7-8,Pistons,D. Robinson makes 3-pt jump shot from 25 ft (assist by C. Cunningham)
1,9:34.0,7-8,Warriors,D. Green misses 3-pt jump shot from 32 ft
1,9:30.0,7-8,Pistons,Defensive rebound by A. Thompson
1,9:27.0,7-8,Pistons,D. Robinson misses 3-pt jump shot from 26 ft
1,9:23.0,7-8,Pistons,Offensive rebound by D. Robinson
1,9:23.0,7-8,Pistons,D. Robinson misses 3-pt jump shot from 28 ft
1,9:20.0,7-8,Warriors,Defensive rebound by A. Horford
1,9:03.0,7-11,Warriors,S. Curry makes 3-pt jump shot from 27 ft (assist by A. Horford)
1,8:50.0,9-11,Pistons,T. Harris makes 2-pt layup from 3 ft (assist by C. Cunningham)
1,8:39.0,9-13,Warriors,S. Curry makes 2-pt layup from 1 ft (assist by D. Green)
1,8:32.0,11-13,Pistons,J. Duren makes 2-pt layup from 3 ft (assist by A. Thompson)
1,8:32.0,11-13,Pistons,Shooting foul by D. Green (drawn by J. Duren)
1,8:32.0,12-13,Pistons,J. Duren makes free throw 1 of 1
1,8:11.0,12-13,Warriors,Shooting foul by T. Harris (drawn by M. Moody)
1,8:11.0,12-13,Warriors,M. Moody misses free throw 1 of 2
1,8:11.0,12-13,Warriors,Offensive rebound by Team
1,8:11.0,12-14,Warriors,M. Moody makes free throw 2 of 2
1,7:54.0,14-14,Pistons,J. Duren makes 2-pt layup from 4 ft (assist by D. Robinson)
1,7:38.0,14-14,Warriors,A. Horford misses 2-pt jump shot from 3 ft
1,7:35.0,14-14,Pistons,Defensive rebound by J. Duren
1,7:31.0,17-14,Pistons,D. Robinson makes 3-pt jump shot from 27 ft (assist by C. Cunningham)
1,7:17.0,17-14,Warriors,A. Horford misses 3-pt jump shot from 24 ft
1,7:14.0,17-14,Pistons,Defensive rebound by A. Thompson
1,7:08.0,17-14,Pistons,Turnover by A. Thompson (bad pass; steal by B. Podziemski)
1,7:05.0,17-17,Warriors,S. Curry makes 3-pt jump shot from 27 ft (assist by B. Podziemski)
1,6:56.0,17-17,Pistons,Offensive foul by T. Harris (drawn by B. Podziemski)
1,6:56.0,17-17,Pistons,Turnover by T. Harris (offensive foul)
1,6:56.0,17-17,Pistons,I. Stewart enters the game for T. Harris
1,6:56.0,17-17,Warriors,W. Richard enters the game for B. Podziemski
1,6:49.0,17-17,Warriors,Turnover by S. Curry (back court)
1,6:49.0,17-17,Warriors,Violation by Team (delay of game)
1,6:41.0,20-17,Pistons,D. Robinson makes 3-pt jump shot from 27 ft (assist by I. Stewart)
1,6:30.0,20-17,Warriors,S. Curry misses 3-pt jump shot from 26 ft
1,6:28.0,20-17,Pistons,Defensive rebound by C. Cunningham
1,6:19.0,22-17,Pistons,A. Thompson makes 2-pt jump shot from 13 ft (assist by I. Stewart)
1,6:07.0,22-17,Warriors,Shooting foul by A. Thompson (drawn by S. Curry)
1,6:07.0,22-18,Warriors,S. Curry makes free throw 1 of 2
1,6:07.0,22-18,Warriors,D. Melton enters the game for M. Moody
1,6:07.0,22-19,Warriors,S. Curry makes free throw 2 of 2
1,5:59.0,25-19,Pistons,D. Robinson makes 3-pt jump shot from 26 ft (assist by C. Cunningham)
1,5:57.0,25-19,Warriors,Golden State full timeout
1,5:57.0,25-19,Warriors,Q. Post enters the game for A. Horford
1,5:41.0,25-19,Warriors,Q. Post misses 3-pt jump shot from 29 ft
1,5:36.0,25-19,Pistons,Defensive rebound by D. Robinson
1,5:27.0,27-19,Pistons,C. Cunningham makes 2-pt layup from 4 ft (assist by A. Thompson)
1,5:16.0,27-22,Warriors,D. Green makes 3-pt jump shot from 24 ft (assist by D. Melton)
1,5:04.0,29-22,Pistons,C. Cunningham makes 2-pt jump shot from 4 ft
1,4:58.0,29-22,Warriors,S. Curry misses 3-pt jump shot from 28 ft
1,4:57.0,29-22,Pistons,Defensive rebound by J. Duren
1,4:55.0,31-22,Pistons,I. Stewart makes 2-pt dunk from 2 ft (assist by C. Cunningham)
1,4:35.0,31-25,Warriors,D. Green makes 3-pt jump shot from 27 ft (assist by D. Melton)
1,4:20.0,31-25,Pistons,I. Stewart misses 3-pt jump shot from 27 ft
1,4:17.0,31-25,Warriors,Defensive rebound by Team
1,4:17.0,31-25,Pistons,Loose ball foul by J. Duren (drawn by Q. Post)
1,4:17.0,31-26,Warriors,Q. Post makes free throw 1 of 2
1,4:17.0,31-26,Pistons,J. Green enters the game for J. Duren
1,4:17.0,31-26,Pistons,R. Holland enters the game for D. Robinson
1,4:17.0,31-26,Pistons,J. Ivey enters the game for A. Thompson
1,4:17.0,31-26,Warriors,G. Santos enters the game for D. Green
1,4:17.0,31-27,Warriors,Q. Post makes free throw 2 of 2
1,4:04.0,33-27,Pistons,C. Cunningham makes 2-pt jump shot from 14 ft
1,3:42.0,33-29,Warriors,G. Santos makes 2-pt layup from 5 ft
