quarter,time,score,team,description
1,11:46.0,0-0,Suns,Turnover by C. Gillespie (bad pass; steal by K. Oubre)
1,11:43.0,0-2,76ers,K. Oubre makes 2-pt layup from 2 ft
1,11:33.0,0-2,Suns,Personal foul by D. Barlow (drawn by D. Booker)
1,11:31.0,0-2,Suns,D. Booker misses 3-pt jump shot from 26 ft
1,11:28.0,0-2,76ers,Defensive rebound by Team
1,11:15.0,0-2,76ers,T. Maxey misses 3-pt jump shot from 27 ft
1,11:12.0,0-2,Suns,Defensive rebound by D. Brooks
1,11:02.0,0-2,Suns,D. Brooks misses 2-pt jump shot from 18 ft
1,11:00.0,0-2,76ers,Defensive rebound by D. Barlow
1,10:49.0,0-2,76ers,V. Edgecombe misses 2-pt jump shot from 13 ft
1,10:47.0,0-2,Suns,Defensive rebound by D. Brooks
1,10:35.0,0-2,Suns,D. Brooks misses 2-pt layup from 4 ft (block by A. Drummond)
1,10:33.0,0-2,Suns,Offensive rebound by D. Booker
1,10:26.0,0-2,Suns,D. Booker misses 2-pt jump shot from 8 ft
1,10:23.0,0-2,76ers,Defensive rebound by A. Drummond
1,10:13.0,0-2,76ers,K. Oubre misses 3-pt jump shot from 26 ft
1,10:11.0,0-2,Suns,Defensive rebound by Team
1,10:02.0,0-2,Suns,Personal foul by V. Edgecombe (drawn by C. Gillespie)
1,9:58.0,0-2,Suns,C. Gillespie misses 3-pt jump shot from 26 ft
1,9:56.0,0-2,Suns,Offensive rebound by M. Williams
1,9:52.0,0-2,Suns,R. O'Neale misses 3-pt jump shot from 27 ft
1,9:52.0,0-2,76ers,Defensive rebound by V. Edgecombe
1,9:37.0,0-2,76ers,T. Maxey misses 3-pt jump shot from 27 ft
1,9:34.0,0-2,76ers,Offensive rebound by D. Barlow
1,9:33.0,0-5,76ers,V. Edgecombe makes 3-pt jump shot from 26 ft (assist by D. Barlow)
1,9:11.0,0-5,Suns,Shooting foul by A. Drummond (drawn by D. Booker)
1,9:11.0,1-5,Suns,D. Booker makes free throw 1 of 2
1,9:11.0,2-5,Suns,D. Booker makes free throw 2 of 2
1,8:57.0,2-5,76ers,K. Oubre misses 2-pt jump shot from 2 ft
1,8:55.0,2-5,Suns,Defensive rebound by R. O'Neale
1,8:49.0,2-5,Suns,Turnover by D. Brooks (dbl dribble)
1,8:38.0,2-5,76ers,T. Maxey misses 2-pt layup from 2 ft
1,8:35.0,2-5,76ers,Offensive rebound by A. Drummond
1,8:34.0,2-7,76ers,A. Drummond makes 2-pt dunk from 1 ft
1,8:22.0,2-7,Suns,D. Booker misses 2-pt layup from 3 ft
1,8:21.0,2-7,76ers,Defensive rebound by A. Drummond
1,8:16.0,2-7,76ers,Shooting foul by C. Gillespie (drawn by V. Edgecombe)
1,8:16.0,2-7,76ers,V. Edgecombe misses free throw 1 of 2
1,8:16.0,2-7,76ers,Offensive rebound by Team
1,8:16.0,2-8,76ers,V. Edgecombe makes free throw 2 of 2
1,8:03.0,2-8,Suns,D. Booker misses 2-pt jump shot from 17 ft
1,8:01.0,2-8,Suns,Offensive rebound by M. Williams
1,8:00.0,2-8,Suns,R. O'Neale misses 3-pt jump shot from 27 ft
1,7:56.0,2-8,76ers,Defensive rebound by K. Oubre
1,7:56.0,2-8,76ers,Personal foul by C. Gillespie (drawn by K. Oubre)
