quarter,time,score,team,description
1,3:45.0,18-17,Rockets,A. Şengün misses 2-pt jump shot from 11 ft
1,3:44.0,18-17,Rockets,Offensive rebound by J. Okogie
1,3:44.0,18-19,Rockets,J. Okogie makes 2-pt layup from 3 ft
1,3:28.0,18-19,Mavericks,M. Christie misses 2-pt jump shot from 6 ft
1,3:23.0,18-19,Rockets,Defensive rebound by J. Okogie
1,3:17.0,18-21,Rockets,T. Eason makes 2-pt layup from 3 ft (assist by J. Okogie)
1,2:58.0,20-21,Mavericks,B. Williams makes 2-pt layup from 5 ft
1,2:46.0,20-21,Rockets,A. Şengün misses 2-pt dunk from 3 ft
1,2:45.0,20-21,Rockets,Offensive rebound by T. Eason
1,2:39.0,20-21,Rockets,J. Okogie misses 3-pt jump shot from 23 ft
1,2:37.0,20-21,Mavericks,Defensive rebound by Team
1,2:37.0,20-21,Rockets,Houston full timeout
1,2:37.0,20-21,Mavericks,N. Marshall enters the game for M. Christie
1,2:37.0,20-21,Mavericks,C. Martin enters the game for C. Flagg
1,2:37.0,20-21,Mavericks,K. Thompson enters the game for P. Washington
1,2:37.0,20-21,Rockets,C. Capela enters the game for K. Durant
1,2:37.0,20-21,Rockets,D. Finney-Smith enters the game for T. Eason
1,2:37.0,20-21,Rockets,J. Smith enters the game for J. Okogie
1,2:37.0,20-21,Rockets,A. Thompson enters the game for A. Şengün
1,2:27.0,22-21,Mavericks,B. Williams makes 2-pt layup from 4 ft
1,2:02.0,22-21,Rockets,Turnover by R. Sheppard (bad pass; steal by C. Martin)
1,1:57.0,22-21,Mavericks,B. Williams misses 2-pt layup from 4 ft
1,1:57.0,22-21,Rockets,Defensive rebound by Team
1,1:57.0,22-21,Mavericks,M. Cisse enters the game for D. Gafford
1,1:48.0,22-23,Rockets,R. Sheppard makes 2-pt jump shot from 18 ft
1,1:32.0,22-23,Mavericks,K. Thompson misses 3-pt jump shot from 26 ft
1,1:31.0,22-23,Rockets,Defensive rebound by J. Smith
1,1:14.0,22-26,Rockets,J. Smith makes 3-pt jump shot from 26 ft (assist by A. Thompson)
1,0:56.0,25-26,Mavericks,B. Williams makes 3-pt jump shot from 25 ft (assist by C. Martin)
1,0:39.0,25-28,Rockets,C. Capela makes 2-pt hook shot from 8 ft (assist by R. Sheppard)
1,0:37.0,27-28,Mavericks,B. Williams makes 2-pt layup from 5 ft
1,0:37.0,27-28,Mavericks,Shooting foul by R. Sheppard (drawn by B. Williams)
1,0:37.0,27-28,Rockets,K. Durant enters the game for D. Finney-Smith
1,0:37.0,28-28,Mavericks,B. Williams makes free throw 1 of 1
1,0:21.0,28-30,Rockets,C. Capela makes 2-pt dunk from 3 ft (assist by K. Durant)
1,0:09.0,28-30,Mavericks,Turnover by B. Williams (bad pass; steal by A. Thompson)
1,0:09.0,28-30,Mavericks,Clear path foul by A. Thompson
1,0:09.0,28-30,Mavericks,Instant Replay (Request: Ruling Stands)
1,0:09.0,28-31,Rockets,A. Thompson makes clear path free throw 1 of 2
1,0:09.0,28-31,Mavericks,M. Christie enters the game for B. Williams
1,0:09.0,28-31,Rockets,A. Thompson misses clear path free throw 2 of 2
1,0:09.0,28-31,Rockets,Offensive rebound by Team
1,0:01.0,28-31,Rockets,R. Sheppard misses 3-pt jump shot from 25 ft
1,0:00.0,28-31,Rockets,Offensive rebound by Team
2,11:51.0,28-31,Mavericks,K. Thompson misses 3-pt jump shot from 26 ft
2,11:50.0,28-31,Mavericks,Offensive rebound by K. Thompson
2,11:40.0,28-31,Mavericks,N. Marshall misses 2-pt jump shot from 13 ft
2,11:40.0,28-31,Rockets,Defensive rebound by C. Capela
2,11:24.0,28-33,Rockets,R. Sheppard makes 2-pt jump shot from 19 ft (assist by A. Thompson)
2,11:04.0,30-33,Mavericks,D. Gafford makes 2-pt layup from 4 ft
2,10:43.0,30-35,Rockets,D. Finney-Smith makes 2-pt jump shot from 4 ft
2,10:26.0,30-35,Mavericks,K. Thompson misses 2-pt jump shot from 16 ft
2,10:26.0,30-35,Mavericks,Offensive rebound by D. Gafford
2,10:25.0,32-35,Mavericks,D. Gafford makes 2-pt layup at rim
2,10:12.0,32-35,Rockets,D. Finney-Smith misses 3-pt jump shot from 25 ft
2,10:12.0,32-35,Mavericks,Defensive rebound by C. Martin
2,9:54.0,32-35,Mavericks,D. Gafford misses 2-pt layup from 5 ft (block by R. Sheppard)
2,9:54.0,32-35,Mavericks,Offensive rebound by Team
2,9:52.0,35-35,Mavericks,K. Thompson makes 3-pt jump shot from 24 ft (assist by N. Marshall)
2,9:29.0,35-37,Rockets,C. Capela makes 2-pt hook shot from 5 ft (assist by K. Durant)
2,9:07.0,35-37,Mavericks,Turnover by K. Thompson (lost ball; steal by R. Sheppard)
2,9:04.0,35-37,Rockets,Personal foul by N. Marshall (drawn by R. Sheppard)
2,9:04.0,35-37,Mavericks,C. Flagg enters the game for N. Marshall
2,9:04.0,35-37,Mavericks,R. Nembhard enters the game for C. Martin
2,9:04.0,35-37,Mavericks,P. Washington enters the game for B. Williams
2,9:04.0,35-37,Rockets,J. Smith enters the game for A. Thompson
2,8:55.0,35-37,Rockets,C. Capela misses 2-pt layup from 4 ft
2,8:54.0,35-37,Mavericks,Defensive rebound by D. Gafford
2,8:47.0,35-37,Mavericks,D. Gafford misses 2-pt layup from 3 ft
2,8:46.0,35-37,Rockets,Defensive rebound by K. Durant
2,8:41.0,35-37,Rockets,K. Durant misses 3-pt jump shot from 26 ft
2,8:38.0,35-37,Mavericks,Defensive rebound by C. Flagg
2,8:22.0,35-37,Mavericks,C. Flagg misses 3-pt jump shot from 25 ft
2,8:20.0,35-37,Rockets,Defensive rebound by J. Smith
2,8:07.0,35-37,Rockets,J. Smith misses 2-pt jump shot from 14 ft
2,8:05.0,35-37,Mavericks,Defensive rebound by D. Gafford
2,7:59.0,37-37,Mavericks,C. Flagg makes 2-pt dunk from 4 ft (assist by R. Nembhard)
2,7:57.0,37-37,Rockets,Houston full timeout
2,7:57.0,37-37,Mavericks,D. Powell enters the game for D. Gafford
2,7:57.0,37-37,Rockets,T. Eason enters the game for C. Capela
2,7:57.0,37-37,Rockets,A. Şengün enters the game for D. Finney-Smith
2,7:57.0,37-37,Rockets,A. Thompson enters the game for R. Sheppard
2,7:40.0,37-37,Rockets,A. Şengün misses 2-pt jump shot from 9 ft
2,7:39.0,37-37,Mavericks,Defensive rebound by D. Powell
2,7:27.0,39-37,Mavericks,C. Flagg makes 2-pt jump shot from 8 ft (assist by R. Nembhard)
2,7:16.0,39-40,Rockets,J. Smith makes 3-pt jump shot from 26 ft (assist by A. Thompson)
2,7:01.0,39-40,Mavericks,C. Flagg misses 2-pt jump shot from 17 ft
2,7:00.0,39-40,Rockets,Defensive rebound by J. Smith
2,6:52.0,39-42,Rockets,J. Smith makes 2-pt jump shot from 12 ft (assist by A. Thompson)
2,6:38.0,39-42,Mavericks,R. Nembhard misses 2-pt jump shot from 15 ft
2,6:37.0,39-42,Rockets,Defensive rebound by J. Smith
2,6:25.0,39-42,Rockets,J. Smith misses 2-pt jump shot from 11 ft
2,6:24.0,39-42,Mavericks,Defensive rebound by P. Washington
2,6:15.0,41-42,Mavericks,P. Washington makes 2-pt layup from 3 ft (assist by R. Nembhard)
2,5:52.0,41-42,Rockets,K. Durant misses 2-pt jump shot from 9 ft
2,5:51.0,41-42,Mavericks,Defensive rebound by D. Powell
2,5:44.0,41-42,Mavericks,K. Thompson misses 3-pt jump shot from 26 ft
2,5:42.0,41-42,Rockets,Defensive rebound by T. Eason
2,5:31.0,41-42,Rockets,A. Thompson misses 2-pt layup from 6 ft
2,5:30.0,41-42,Rockets,Offensive rebound by A. Thompson
2,5:30.0,41-42,Rockets,Shooting foul by D. Powell (drawn by A. Thompson)
2,5:30.0,41-43,Rockets,A. Thompson makes free throw 1 of 2
2,5:30.0,41-43,Mavericks,M. Christie enters the game for K. Thompson
2,5:30.0,41-43,Rockets,J. Okogie enters the game for K. Durant
2,5:30.0,41-44,Rockets,A. Thompson makes free throw 2 of 2
2,5:18.0,41-44,Mavericks,R. Nembhard misses 3-pt jump shot from 26 ft
2,5:15.0,41-44,Rockets,Defensive rebound by J. Okogie
2,5:05.0,41-46,Rockets,A. Şengün makes 2-pt hook shot from 8 ft (assist by J. Smith)
2,5:04.0,41-46,Mavericks,Dallas full timeout
2,5:04.0,41-46,Mavericks,N. Marshall enters the game for R. Nembhard
2,4:49.0,41-46,Mavericks,C. Flagg misses 2-pt jump shot from 6 ft
2,4:47.0,41-46,Rockets,Defensive rebound by A. Şengün
2,4:38.0,41-46,Rockets,A. Şengün misses 2-pt hook shot from 9 ft
2,4:38.0,41-46,Mavericks,Defensive rebound by C. Flagg
2,4:32.0,41-46,Mavericks,Shooting foul by J. Smith (drawn by P. Washington)
2,4:32.0,41-46,Mavericks,P. Washington misses free throw 1 of 2
2,4:32.0,41-46,Mavericks,Offensive rebound by Team
2,4:32.0,41-46,Mavericks,P. Washington misses free throw 2 of 2
2,4:32.0,41-46,Rockets,Defensive rebound by A. Şengün
2,4:15.0,41-46,Rockets,Shooting foul by D. Powell (drawn by A. Şengün)
2,4:15.0,41-46,Rockets,A. Şengün misses free throw 1 of 2
2,4:15.0,41-46,Rockets,Offensive rebound by Team
2,4:15.0,41-46,Mavericks,D. Gafford enters the game for D. Powell
2,4:15.0,41-47,Rockets,A. Şengün makes free throw 2 of 2
2,3:58.0,44-47,Mavericks,M. Christie makes 3-pt jump shot from 25 ft (assist by C. Flagg)
2,3:31.0,44-49,Rockets,A. Şengün makes 2-pt hook shot from 7 ft
2,3:22.0,44-49,Mavericks,Turnover by P. Washington (lost ball; steal by T. Eason)
2,3:12.0,44-49,Rockets,J. Okogie misses 2-pt layup from 2 ft
2,3:12.0,44-49,Rockets,Offensive rebound by A. Şengün
2,2:58.0,44-52,Rockets,J. Smith makes 3-pt jump shot from 26 ft (assist by T. Eason)
2,2:49.0,44-52,Mavericks,Personal foul by J. Okogie (drawn by C. Flagg)
2,2:39.0,44-52,Mavericks,P. Washington misses 2-pt layup from 4 ft
2,2:38.0,44-52,Mavericks,Offensive rebound by D. Gafford
2,2:38.0,46-52,Mavericks,D. Gafford makes 2-pt dunk at rim
