quarter,time,score,team,description
1,11:38.0,0-2,76ers,A. Drummond makes 2-pt dunk from 1 ft (assist by T. Maxey)
1,11:20.0,2-2,Celtics,D. White makes 2-pt jump shot from 9 ft (assist by N. Queta)
1,10:54.0,2-4,76ers,T. Watford makes 2-pt jump shot from 8 ft (assist by T. Maxey)
1,10:40.0,2-4,Celtics,Personal foul by K. Oubre (drawn by N. Queta)
1,10:34.0,2-4,Celtics,D. White misses 3-pt jump shot from 25 ft
1,10:32.0,2-4,Celtics,Offensive rebound by Team
1,10:21.0,2-4,Celtics,J. Brown misses 2-pt jump shot from 10 ft
1,10:17.0,2-4,76ers,Defensive rebound by T. Watford
1,10:16.0,2-4,76ers,Turnover by T. Watford (bad pass; steal by P. Pritchard)
1,10:09.0,2-4,Celtics,P. Pritchard misses 2-pt jump shot from 21 ft
1,10:07.0,2-4,Celtics,Offensive rebound by N. Queta
1,10:05.0,4-4,Celtics,N. Queta makes 2-pt layup at rim
1,9:55.0,4-7,76ers,T. Maxey makes 3-pt jump shot from 27 ft (assist by T. Watford)
1,9:43.0,7-7,Celtics,J. Minott makes 3-pt jump shot from 24 ft (assist by D. White)
1,9:32.0,7-7,76ers,T. Maxey misses 3-pt jump shot from 27 ft
1,9:30.0,7-7,Celtics,Defensive rebound by J. Brown
1,9:16.0,7-7,Celtics,Shooting foul by T. Watford (drawn by J. Brown)
1,9:16.0,8-7,Celtics,J. Brown makes free throw 1 of 2
1,9:16.0,9-7,Celtics,J. Brown makes free throw 2 of 2
1,9:04.0,9-7,76ers,V. Edgecombe misses 3-pt jump shot from 27 ft
1,9:02.0,9-7,Celtics,Defensive rebound by J. Minott
1,8:58.0,11-7,Celtics,N. Queta makes 2-pt dunk from 1 ft (assist by J. Brown)
1,8:36.0,11-9,76ers,K. Oubre makes 2-pt jump shot from 7 ft
1,8:28.0,11-9,Celtics,J. Brown misses 3-pt jump shot from 29 ft
1,8:24.0,11-9,76ers,Defensive rebound by A. Drummond
1,8:16.0,11-12,76ers,T. Watford makes 3-pt jump shot from 26 ft (assist by T. Maxey)
1,7:57.0,11-12,Celtics,J. Brown misses 2-pt jump shot from 21 ft
1,7:55.0,11-12,76ers,Defensive rebound by V. Edgecombe
1,7:40.0,11-12,76ers,V. Edgecombe misses 2-pt jump shot from 16 ft (block by D. White)
1,7:37.0,11-12,Celtics,Defensive rebound by N. Queta
1,7:36.0,11-12,Celtics,Turnover by D. White (out of bounds lost ball)
1,7:22.0,11-12,76ers,K. Oubre misses 3-pt jump shot from 27 ft
1,7:20.0,11-12,Celtics,Defensive rebound by J. Brown
1,7:13.0,11-12,Celtics,J. Brown misses 2-pt layup from 2 ft
1,7:12.0,11-12,76ers,Defensive rebound by A. Drummond
