quarter,time,score,team,description
1,11:43.0,0-0,Spurs,Personal foul by L. Ball (drawn by V. Wembanyama)
1,11:37.0,2-0,Spurs,V. Wembanyama makes 2-pt jump shot from 19 ft (assist by S. Castle)
1,11:13.0,2-0,Hornets,Turnover by L. Ball (lost ball; steal by D. Fox)
1,11:10.0,4-0,Spurs,S. Castle makes 2-pt dunk at rim (assist by D. Fox)
1,11:00.0,4-3,Hornets,L. Ball makes 3-pt jump shot from 28 ft (assist by B. Miller)
1,10:39.0,7-3,Spurs,J. Champagnie makes 3-pt jump shot from 25 ft (assist by S. Castle)
1,10:24.0,7-6,Hornets,M. Bridges makes 3-pt jump shot from 27 ft (assist by B. Miller)
1,10:04.0,7-6,Spurs,Turnover by V. Wembanyama (lost ball; steal by M. Bridges)
1,9:59.0,7-6,Hornets,B. Miller misses 3-pt jump shot from 27 ft
1,9:56.0,7-6,Hornets,Offensive rebound by K. Knueppel
1,9:47.0,7-6,Hornets,M. Bridges misses 3-pt jump shot from 27 ft
1,9:46.0,7-6,Hornets,Offensive rebound by Team
1,9:40.0,7-6,Hornets,Personal foul by D. Fox (drawn by M. Diabaté)
1,9:26.0,7-8,Hornets,M. Diabaté makes 2-pt layup from 2 ft (assist by K. Knueppel)
1,9:07.0,10-8,Spurs,D. Vassell makes 3-pt jump shot from 27 ft (assist by S. Castle)
1,8:54.0,10-11,Hornets,L. Ball makes 3-pt jump shot from 25 ft (assist by M. Diabaté)
1,8:38.0,10-11,Spurs,D. Fox misses 2-pt jump shot from 5 ft
1,8:36.0,10-11,Spurs,Offensive rebound by V. Wembanyama
1,8:36.0,10-11,Spurs,V. Wembanyama misses 2-pt dunk at rim
1,8:34.0,10-11,Hornets,Defensive rebound by B. Miller
1,8:17.0,10-13,Hornets,M. Bridges makes 2-pt jump shot from 12 ft
1,8:00.0,10-13,Spurs,V. Wembanyama misses 2-pt layup from 2 ft
1,7:59.0,10-13,Hornets,Defensive rebound by M. Diabaté
1,7:43.0,10-15,Hornets,K. Knueppel makes 2-pt layup from 2 ft (assist by M. Bridges)
1,7:43.0,10-15,Spurs,San Antonio full timeout
1,7:29.0,10-15,Spurs,D. Fox misses 2-pt layup from 1 ft
1,7:27.0,10-15,Hornets,Defensive rebound by L. Ball
1,7:23.0,10-15,Hornets,B. Miller misses 3-pt jump shot from 27 ft
1,7:21.0,10-15,Spurs,Defensive rebound by S. Castle
1,7:14.0,13-15,Spurs,D. Vassell makes 3-pt jump shot from 24 ft (assist by S. Castle)
1,6:48.0,13-17,Hornets,M. Diabaté makes 2-pt jump shot from 7 ft (assist by L. Ball)
1,6:29.0,16-17,Spurs,D. Fox makes 3-pt jump shot from 25 ft
1,6:14.0,16-17,Hornets,Shooting foul by D. Fox (drawn by L. Ball)
1,6:14.0,16-18,Hornets,L. Ball makes free throw 1 of 3
1,6:14.0,16-19,Hornets,L. Ball makes free throw 2 of 3
1,6:14.0,16-19,Spurs,D. Harper enters the game for D. Fox
1,6:14.0,16-19,Spurs,L. Kornet enters the game for V. Wembanyama
1,6:14.0,16-19,Hornets,J. Green enters the game for M. Diabaté
1,6:14.0,16-19,Hornets,R. Kalkbrenner enters the game for K. Knueppel
1,6:14.0,16-20,Hornets,L. Ball makes free throw 3 of 3
1,6:03.0,16-20,Spurs,Turnover by S. Castle (bad pass)
1,5:53.0,16-20,Hornets,Turnover by M. Bridges (traveling)
1,5:35.0,18-20,Spurs,D. Harper makes 2-pt jump shot from 8 ft
1,5:12.0,18-20,Hornets,B. Miller misses 2-pt jump shot from 10 ft (block by D. Vassell)
1,5:10.0,18-20,Spurs,Defensive rebound by D. Vassell
1,5:03.0,21-20,Spurs,J. Champagnie makes 3-pt jump shot from 26 ft (assist by D. Vassell)
1,5:03.0,21-20,Spurs,Shooting foul by M. Bridges (drawn by J. Champagnie)
1,5:03.0,21-20,Hornets,Charlotte full timeout
1,5:03.0,21-20,Spurs,H. Barnes enters the game for S. Castle
1,5:03.0,21-20,Spurs,K. Johnson enters the game for D. Vassell
1,5:03.0,21-20,Hornets,S. James enters the game for L. Ball
1,5:03.0,21-20,Hornets,G. Williams enters the game for M. Bridges
1,5:03.0,22-20,Spurs,J. Champagnie makes free throw 1 of 1
1,4:46.0,22-20,Hornets,B. Miller misses 2-pt jump shot from 10 ft
1,4:45.0,22-20,Hornets,Offensive rebound by B. Miller
1,4:38.0,22-20,Hornets,Shooting foul by H. Barnes (drawn by B. Miller)
1,4:38.0,22-21,Hornets,B. Miller makes free throw 1 of 2
1,4:38.0,22-21,Spurs,S. Castle enters the game for J. Champagnie
1,4:38.0,22-22,Hornets,B. Miller makes free throw 2 of 2
1,4:19.0,22-22,Spurs,H. Barnes misses 3-pt jump shot from 26 ft
1,4:16.0,22-22,Hornets,Defensive rebound by S. James
1,4:11.0,22-22,Hornets,B. Miller misses 2-pt jump shot from 5 ft (block by D. Harper)
1,4:10.0,22-22,Hornets,Offensive rebound by B. Miller
1,3:54.0,22-22,Hornets,J. Green misses 3-pt jump shot from 26 ft
1,3:52.0,22-22,Spurs,Defensive rebound by H. Barnes
1,3:44.0,22-22,Spurs,H. Barnes misses 2-pt jump shot from 13 ft
1,3:42.0,22-22,Hornets,Defensive rebound by G. Williams
1,3:24.0,22-22,Hornets,S. James misses 2-pt jump shot from 11 ft
1,3:22.0,22-22,Spurs,Defensive rebound by L. Kornet
1,3:17.0,22-22,Spurs,Turnover by H. Barnes (back court)
1,3:17.0,22-22,Spurs,D. Fox enters the game for S. Castle
1,3:17.0,22-22,Hornets,K. Knueppel enters the game for B. Miller
1,3:04.0,22-22,Hornets,K. Knueppel misses 2-pt jump shot from 7 ft
1,3:02.0,22-22,Hornets,Offensive rebound by J. Green
1,2:58.0,22-24,Hornets,K. Knueppel makes 2-pt layup from 2 ft (assist by J. Green)
1,2:38.0,24-24,Spurs,D. Harper makes 2-pt jump shot from 11 ft (assist by D. Fox)
1,2:27.0,24-24,Hornets,Turnover by S. James (bad pass; steal by L. Kornet)
1,2:18.0,27-24,Spurs,D. Harper makes 3-pt jump shot from 26 ft (assist by D. Fox)
1,2:18.0,27-24,Hornets,C. Sexton enters the game for J. Green
1,1:50.0,27-26,Hornets,R. Kalkbrenner makes 2-pt jump shot from 17 ft (assist by C. Sexton)
1,1:39.0,27-26,Spurs,D. Harper misses 2-pt layup from 2 ft (block by R. Kalkbrenner)
1,1:36.0,27-26,Hornets,Defensive rebound by G. Williams
1,1:34.0,27-26,Hornets,Offensive foul by S. James (drawn by K. Johnson)
1,1:34.0,27-26,Hornets,Turnover by S. James (offensive foul)
1,1:11.0,27-26,Spurs,K. Johnson misses 2-pt layup from 1 ft
1,1:07.0,27-26,Hornets,Defensive rebound by G. Williams
1,0:53.0,27-26,Hornets,K. Knueppel misses 2-pt layup from 2 ft
1,0:51.0,27-26,Spurs,Defensive rebound by L. Kornet
1,0:47.0,27-26,Spurs,Shooting foul by G. Williams (drawn by K. Johnson)
1,0:47.0,28-26,Spurs,K. Johnson makes free throw 1 of 2
1,0:47.0,28-26,Spurs,S. Castle enters the game for D. Fox
1,0:47.0,28-26,Hornets,L. Ball enters the game for S. James
1,0:47.0,29-26,Spurs,K. Johnson makes free throw 2 of 2
1,0:35.0,29-26,Hornets,Offensive foul by K. Knueppel (drawn by S. Castle)
1,0:35.0,29-26,Hornets,Turnover by K. Knueppel (offensive foul)
1,0:21.0,29-26,Spurs,K. Johnson misses 3-pt jump shot from 23 ft
1,0:17.0,29-26,Spurs,Offensive rebound by S. Castle
1,0:17.0,29-26,Spurs,S. Castle misses 2-pt layup at rim
1,0:16.0,29-26,Hornets,Defensive rebound by L. Ball
1,0:14.0,29-26,Hornets,Turnover by L. Ball (bad pass)
1,0:14.0,29-26,Spurs,V. Wembanyama enters the game for L. Kornet
1,0:14.0,29-26,Hornets,M. Diabaté enters the game for L. Ball
1,0:14.0,29-26,Hornets,J. Green enters the game for R. Kalkbrenner
1,0:14.0,29-26,Hornets,S. James enters the game for C. Sexton
1,0:00.0,29-26,Spurs,Shooting foul by G. Williams (drawn by S. Castle)
1,0:00.0,30-26,Spurs,S. Castle makes free throw 1 of 2
1,0:00.0,30-26,Hornets,R. Kalkbrenner enters the game for G. Williams
1,0:00.0,30-26,Spurs,S. Castle misses free throw 2 of 2
1,0:00.0,30-26,Hornets,Defensive rebound by S. James
2,11:40.0,30-26,Hornets,L. Ball misses 3-pt jump shot from 27 ft
2,11:38.0,30-26,Spurs,Defensive rebound by Team
2,11:23.0,30-26,Spurs,V. Wembanyama misses 2-pt jump shot from 19 ft
2,11:20.0,30-26,Hornets,Defensive rebound by L. Ball
2,11:17.0,30-26,Hornets,Personal foul by D. Harper (drawn by L. Ball)
2,11:04.0,30-26,Hornets,Shooting foul by S. Castle (drawn by C. Sexton)
2,11:04.0,30-27,Hornets,C. Sexton makes free throw 1 of 2
2,11:04.0,30-28,Hornets,C. Sexton makes free throw 2 of 2
2,10:55.0,32-28,Spurs,S. Castle makes 2-pt dunk from 1 ft (assist by V. Wembanyama)
2,10:39.0,32-28,Hornets,Turnover by K. Knueppel (bad pass; steal by K. Johnson)
2,10:35.0,34-28,Spurs,D. Harper makes 2-pt dunk from 1 ft (assist by K. Johnson)
2,10:34.0,34-28,Hornets,Charlotte full timeout
